Date,Adj Close,Close,High,Low,Open,Volume
1970-01-01 00:00:00.000000000,24.241418838500977,43.9375,43.96875,43.75,43.96875,1003200
1970-01-01 00:00:00.000000001,24.41382598876953,44.25,44.25,43.96875,43.96875,480500
1970-01-01 00:00:00.000000002,24.46553421020508,44.34375,44.375,44.125,44.21875,201300
1970-01-01 00:00:00.000000003,24.724170684814453,44.8125,44.84375,44.375,44.40625,529400
1970-01-01 00:00:00.000000004,24.827611923217773,45.0,45.09375,44.46875,44.96875,531500
1970-01-01 00:00:00.000000005,24.81037712097168,44.96875,45.0625,44.71875,44.96875,492100
1970-01-01 00:00:00.000000006,24.81037712097168,44.96875,45.125,44.90625,44.96875,596100
1970-01-01 00:00:00.000000007,24.6379451751709,44.65625,44.8125,44.5625,44.8125,122100
1970-01-01 00:00:00.000000008,24.67245101928711,44.71875,44.75,44.53125,44.65625,379600
1970-01-01 00:00:00.000000009,24.793121337890625,44.9375,45.125,44.78125,44.78125,19500
1970-01-01 00:00:00.000000010,24.60346984863281,44.59375,44.875,44.59375,44.875,42500
1970-01-01 00:00:00.000000011,23.98279190063477,43.46875,44.46875,43.40625,44.46875,374800
1970-01-01 00:00:00.000000012,23.96554374694824,43.4375,43.53125,43.28125,43.46875,210900
1970-01-01 00:00:00.000000013,23.948291778564453,43.40625,43.9375,42.8125,43.9375,378100
1970-01-01 00:00:00.000000014,24.034507751464844,43.5625,43.5625,43.34375,43.40625,34900
1970-01-01 00:00:00.000000015,24.1207218170166,43.71875,43.78125,43.5625,43.6875,513600
1970-01-01 00:00:00.000000016,24.103477478027344,43.6875,43.875,43.46875,43.84375,373700
1970-01-01 00:00:00.000000017,24.41382598876953,44.25,44.25,43.71875,43.71875,26300
1970-01-01 00:00:00.000000018,24.46553421020508,44.34375,44.375,44.125,44.21875,44500
1970-01-01 00:00:00.000000019,24.50003242492676,44.40625,44.4375,44.1875,44.4375,66200
1970-01-01 00:00:00.000000020,24.43106460571289,44.28125,44.5625,44.21875,44.5625,66500
1970-01-01 00:00:00.000000021,24.793121337890625,44.9375,44.9375,44.25,44.3125,182400
1970-01-01 00:00:00.000000022,24.89657974243164,45.125,45.15625,44.9375,45.0,280100
1970-01-01 00:00:00.000000023,24.75863265991211,44.875,45.1875,44.875,45.1875,89500
1970-01-01 00:00:00.000000024,24.68968772888184,44.75,45.125,44.71875,44.9375,40000
1970-01-01 00:00:00.000000025,25.241395950317383,45.75,45.75,44.84375,44.84375,50800
1970-01-01 00:00:00.000000026,25.15519523620605,45.59375,45.6875,45.5,45.65625,169300
1970-01-01 00:00:00.000000027,25.20693016052246,45.6875,45.6875,45.40625,45.59375,194400
1970-01-01 00:00:00.000000028,25.13795661926269,45.5625,45.84375,45.5,45.71875,70900
1970-01-01 00:00:00.000000029,24.879337310791016,45.09375,45.21875,44.8125,45.1875,643600
1970-01-01 00:00:00.000000030,25.00002861022949,45.3125,45.3125,45.0625,45.0625,310800
1970-01-01 00:00:00.000000031,25.00002861022949,45.3125,45.4375,45.3125,45.3125,30800
1970-01-01 00:00:00.000000032,24.84486961364746,45.03125,45.25,44.96875,45.25,21800
1970-01-01 00:00:00.000000033,25.00002861022949,45.3125,45.5,45.21875,45.21875,59300
1970-01-01 00:00:00.000000034,24.96220970153809,45.03125,45.28125,45.03125,45.28125,66900
1970-01-01 00:00:00.000000035,24.823596954345703,44.78125,44.875,44.5625,44.59375,183400
1970-01-01 00:00:00.000000036,24.87556838989257,44.875,44.9375,44.8125,44.90625,55200
1970-01-01 00:00:00.000000037,24.87556838989257,44.875,45.0625,44.59375,44.8125,37200
1970-01-01 00:00:00.000000038,25.031469345092773,45.15625,45.25,44.84375,44.90625,110100
1970-01-01 00:00:00.000000039,24.892911911010746,44.90625,45.15625,44.875,45.125,101500
1970-01-01 00:00:00.000000040,24.996824264526367,45.09375,45.3125,44.9375,44.9375,87100
1970-01-01 00:00:00.000000041,25.06612777709961,45.21875,45.21875,45.09375,45.15625,56000
1970-01-01 00:00:00.000000042,25.048810958862305,45.1875,45.46875,45.1875,45.34375,111600
1970-01-01 00:00:00.000000043,24.96220970153809,45.03125,45.25,44.9375,45.25,129500
1970-01-01 00:00:00.000000044,24.442514419555664,44.09375,44.65625,44.09375,44.65625,59400
1970-01-01 00:00:00.000000045,24.56378173828125,44.3125,44.4375,44.1875,44.4375,172200
1970-01-01 00:00:00.000000046,24.494478225708008,44.1875,44.40625,44.0625,44.40625,129700
1970-01-01 00:00:00.000000047,24.581079483032227,44.34375,44.34375,44.15625,44.25,28000
1970-01-01 00:00:00.000000048,24.54644012451172,44.28125,44.53125,44.09375,44.53125,180800
1970-01-01 00:00:00.000000049,24.892911911010746,44.90625,44.9375,44.65625,44.71875,348500
1970-01-01 00:00:00.000000050,24.94486427307129,45.0,45.15625,44.84375,44.875,146100
1970-01-01 00:00:00.000000051,24.910213470458984,44.9375,45.0625,44.90625,45.03125,119600
1970-01-01 00:00:00.000000052,24.910213470458984,44.9375,45.03125,44.75,44.90625,148600
1970-01-01 00:00:00.000000053,24.910213470458984,44.9375,45.03125,44.875,44.96875,47900
1970-01-01 00:00:00.000000054,24.806299209594727,44.75,45.0625,44.71875,44.9375,157000
1970-01-01 00:00:00.000000055,24.685022354125977,44.53125,44.75,44.25,44.6875,279500
1970-01-01 00:00:00.000000056,24.667709350585938,44.5,44.625,44.375,44.625,67900
1970-01-01 00:00:00.000000057,24.35589599609375,43.9375,44.6875,43.9375,44.3125,97700
1970-01-01 00:00:00.000000058,24.251968383789062,43.75,43.96875,43.6875,43.84375,106000
1970-01-01 00:00:00.000000059,24.061403274536133,43.40625,43.9375,43.28125,43.78125,62600
