date,ticker,action,reason,pred,pred_signal,age
2026-07-09,RCAT,HOLD,still_valid,0.9758928571428571,1,23
2026-07-09,QS,HOLD,still_valid,0.9580357142857143,0,23
2026-07-09,LUMN,HOLD,still_valid,0.9098214285714286,0,22
2026-07-09,AMD,HOLD,still_valid,0.9330357142857143,0,22
2026-07-09,WDC,HOLD,still_valid,0.95625,0,21
2026-07-09,SOUN,HOLD,still_valid,0.8919642857142858,0,20
2026-07-09,OSCR,HOLD,still_valid,0.9607142857142856,0,14
2026-07-09,LUNR,HOLD,still_valid,0.9419642857142857,0,14
2026-07-09,SMR,HOLD,still_valid,0.9866071428571429,1,14
2026-07-09,QUBT,HOLD,still_valid,0.9982142857142857,1,14
2026-07-09,FLNC,HOLD,still_valid,0.9946428571428572,1,8
2026-07-09,JOBY,HOLD,still_valid,0.9196428571428572,0,8
2026-07-09,UEC,HOLD,still_valid,0.9678571428571427,0,2
2026-07-09,SNOW,HOLD,still_valid,0.9857142857142857,1,1
