date,ticker,action,reason,pred,pred_signal,age
2026-07-02,EOSE,HOLD,still_valid,1.0,1,19
2026-07-02,RCAT,HOLD,still_valid,0.9610619469026549,0,19
2026-07-02,QS,HOLD,still_valid,0.9504424778761063,0,19
2026-07-02,LUMN,HOLD,still_valid,0.9415929203539823,0,18
2026-07-02,AMD,HOLD,still_valid,0.9353982300884955,0,18
2026-07-02,AMAT,HOLD,still_valid,0.8814159292035397,0,18
2026-07-02,WDC,HOLD,still_valid,0.9513274336283186,0,17
2026-07-02,SOUN,HOLD,still_valid,0.9123893805309735,0,16
2026-07-02,OSCR,HOLD,still_valid,0.9548672566371681,0,10
2026-07-02,LUNR,HOLD,still_valid,0.9504424778761061,0,10
2026-07-02,SMR,HOLD,still_valid,0.9769911504424779,1,10
2026-07-02,QUBT,HOLD,still_valid,0.9911504424778761,1,10
2026-07-02,FLNC,HOLD,still_valid,0.9955752212389379,1,4
2026-07-02,JOBY,HOLD,still_valid,0.9469026548672567,0,4
2026-07-02,SNOW,HOLD,still_valid,0.9654867256637167,1,2
