date,ticker,action,reason,pred,pred_signal,age,target_weight
2026-06-29,EOSE,HOLD,still_valid,1.0,1.0,15.0,
2026-06-29,RCAT,HOLD,still_valid,0.9564444444444444,0.0,15.0,
2026-06-29,ACHR,SELL_NEXT_OPEN,missing_from_latest_universe,,,,
2026-06-29,QS,HOLD,still_valid,0.9244444444444444,0.0,15.0,
2026-06-29,UUUU,HOLD,still_valid,0.9271111111111112,0.0,15.0,
2026-06-29,LUMN,HOLD,still_valid,0.9564444444444444,0.0,14.0,
2026-06-29,AMD,HOLD,still_valid,0.9359999999999999,0.0,14.0,
2026-06-29,AMAT,HOLD,still_valid,0.9902222222222221,1.0,14.0,
2026-06-29,WDC,HOLD,still_valid,0.9822222222222223,1.0,13.0,
2026-06-29,SOUN,HOLD,still_valid,0.952,0.0,12.0,
2026-06-29,OSCR,HOLD,still_valid,0.9342222222222223,0.0,6.0,
2026-06-29,LUNR,HOLD,still_valid,0.9208888888888889,0.0,6.0,
2026-06-29,SMR,HOLD,still_valid,0.9528888888888889,0.0,6.0,
2026-06-29,QUBT,HOLD,still_valid,0.9448888888888889,0.0,6.0,
2026-06-29,INTC,SELL_NEXT_OPEN,weak_long,0.0,0.0,5.0,
2026-06-29,FLNC,BUY_NEXT_OPEN,new_buy_signal,0.9813333333333334,,,0.03333333333333333
2026-06-29,JOBY,BUY_NEXT_OPEN,new_buy_signal,0.9760000000000001,,,0.03333333333333333
