date,ticker,action,reason,pred,pred_signal,age,target_weight
2026-07-17,RCAT,HOLD,still_valid,0.9715555555555555,0.0,29.0,
2026-07-17,QS,HOLD,still_valid,0.9502222222222222,0.0,29.0,
2026-07-17,LUMN,HOLD,still_valid,0.9093333333333333,0.0,28.0,
2026-07-17,WDC,HOLD,still_valid,0.9528888888888889,0.0,27.0,
2026-07-17,SOUN,HOLD,still_valid,0.9235555555555556,0.0,26.0,
2026-07-17,OSCR,HOLD,still_valid,0.9484444444444444,0.0,20.0,
2026-07-17,LUNR,HOLD,still_valid,0.944,0.0,20.0,
2026-07-17,SMR,HOLD,still_valid,0.984,1.0,20.0,
2026-07-17,QUBT,HOLD,still_valid,0.9893333333333334,1.0,20.0,
2026-07-17,FLNC,HOLD,still_valid,0.9973333333333333,1.0,14.0,
2026-07-17,JOBY,HOLD,still_valid,0.9582222222222222,0.0,14.0,
2026-07-17,UEC,HOLD,still_valid,0.9448888888888889,0.0,8.0,
2026-07-17,SNOW,HOLD,still_valid,0.9688888888888889,0.0,7.0,
2026-07-17,RDW,HOLD,still_valid,0.9884444444444445,1.0,3.0,
2026-07-17,NVTS,BUY_NEXT_OPEN,new_buy_signal,0.9724444444444444,,,0.03333333333333333
