date,ticker,action,reason,pred,pred_signal,age
2026-07-16,RCAT,HOLD,still_valid,0.9830357142857142,1,28
2026-07-16,QS,HOLD,still_valid,0.9535714285714285,0,28
2026-07-16,LUMN,HOLD,still_valid,0.9080357142857143,0,27
2026-07-16,WDC,HOLD,still_valid,0.9580357142857143,0,26
2026-07-16,SOUN,HOLD,still_valid,0.905357142857143,0,25
2026-07-16,OSCR,HOLD,still_valid,0.9464285714285714,0,19
2026-07-16,LUNR,HOLD,still_valid,0.9401785714285714,0,19
2026-07-16,SMR,HOLD,still_valid,0.9892857142857143,1,19
2026-07-16,QUBT,HOLD,still_valid,0.9982142857142857,1,19
2026-07-16,FLNC,HOLD,still_valid,0.9919642857142857,1,13
2026-07-16,JOBY,HOLD,still_valid,0.9410714285714286,0,13
2026-07-16,UEC,HOLD,still_valid,0.94375,0,7
2026-07-16,SNOW,HOLD,still_valid,0.9589285714285714,0,6
2026-07-16,RDW,HOLD,still_valid,0.982142857142857,1,2
