date,ticker,action,reason,pred,pred_signal,age,target_weight
2026-07-01,EOSE,HOLD,still_valid,1.0,1.0,17.0,
2026-07-01,RCAT,HOLD,still_valid,0.9654867256637167,0.0,17.0,
2026-07-01,QS,HOLD,still_valid,0.9008849557522125,0.0,17.0,
2026-07-01,LUMN,HOLD,still_valid,0.9168141592920354,0.0,16.0,
2026-07-01,AMD,HOLD,still_valid,0.9415929203539822,0.0,16.0,
2026-07-01,AMAT,HOLD,still_valid,0.923008849557522,0.0,16.0,
2026-07-01,WDC,HOLD,still_valid,0.9592920353982302,0.0,15.0,
2026-07-01,SOUN,HOLD,still_valid,0.947787610619469,0.0,14.0,
2026-07-01,OSCR,HOLD,still_valid,0.9318584070796461,0.0,8.0,
2026-07-01,LUNR,HOLD,still_valid,0.9336283185840708,0.0,8.0,
2026-07-01,SMR,HOLD,still_valid,0.9858407079646018,1.0,8.0,
2026-07-01,QUBT,HOLD,still_valid,0.9955752212389379,1.0,8.0,
2026-07-01,FLNC,HOLD,still_valid,0.9849557522123893,1.0,2.0,
2026-07-01,JOBY,HOLD,still_valid,0.9548672566371682,0.0,2.0,
2026-07-01,SNOW,BUY_NEXT_OPEN,new_buy_signal,0.9787610619469027,,,0.03333333333333333
