date,ticker,action,reason,pred,pred_signal,age
2026-07-15,RCAT,HOLD,still_valid,0.9794642857142857,1,27
2026-07-15,QS,HOLD,still_valid,0.9624999999999999,0,27
2026-07-15,LUMN,HOLD,still_valid,0.9098214285714286,0,26
2026-07-15,WDC,HOLD,still_valid,0.9651785714285714,0,25
2026-07-15,SOUN,HOLD,still_valid,0.9125000000000001,0,24
2026-07-15,OSCR,HOLD,still_valid,0.9410714285714286,0,18
2026-07-15,LUNR,HOLD,still_valid,0.9348214285714286,0,18
2026-07-15,SMR,HOLD,still_valid,0.98125,1,18
2026-07-15,QUBT,HOLD,still_valid,0.9928571428571429,1,18
2026-07-15,FLNC,HOLD,still_valid,0.9973214285714286,1,12
2026-07-15,JOBY,HOLD,still_valid,0.9455357142857143,0,12
2026-07-15,UEC,HOLD,still_valid,0.9285714285714286,0,6
2026-07-15,SNOW,HOLD,still_valid,0.9723214285714286,0,5
2026-07-15,RDW,HOLD,still_valid,0.9857142857142858,1,1
