date,ticker,action,reason,pred,pred_signal,age
2026-07-10,RCAT,HOLD,still_valid,0.9804444444444445,1,24
2026-07-10,QS,HOLD,still_valid,0.9662222222222223,0,24
2026-07-10,LUMN,HOLD,still_valid,0.9084444444444444,0,23
2026-07-10,AMD,HOLD,still_valid,0.9164444444444445,0,23
2026-07-10,WDC,HOLD,still_valid,0.9608888888888889,0,22
2026-07-10,SOUN,HOLD,still_valid,0.8977777777777778,0,21
2026-07-10,OSCR,HOLD,still_valid,0.9573333333333334,0,15
2026-07-10,LUNR,HOLD,still_valid,0.944,0,15
2026-07-10,SMR,HOLD,still_valid,0.983111111111111,1,15
2026-07-10,QUBT,HOLD,still_valid,0.9982222222222222,1,15
2026-07-10,FLNC,HOLD,still_valid,0.9973333333333333,1,9
2026-07-10,JOBY,HOLD,still_valid,0.9457777777777777,0,9
2026-07-10,UEC,HOLD,still_valid,0.9475555555555555,0,3
2026-07-10,SNOW,HOLD,still_valid,0.984,1,2
