ticker,side,entry_date,age,entry_score,last_score,last_pred,last_pred_cat,last_pred_lgbm,last_seen_date
RCAT,1,2026-06-15,29,0.9806167400881056,0.9715555555555555,0.9715555555555555,0.23826008335786053,0.3624885318663571,2026-07-17
QS,1,2026-06-15,29,0.9762114537444934,0.9502222222222222,0.9502222222222222,0.25976728035089297,0.17787220077074797,2026-07-17
LUMN,1,2026-06-16,28,0.995774647887324,0.9093333333333333,0.9093333333333333,0.10130453507613026,0.16610760421453274,2026-07-17
WDC,1,2026-06-17,27,0.9788732394366196,0.9528888888888889,0.9528888888888889,0.13589941096784292,0.3138281491789357,2026-07-17
SOUN,1,2026-06-18,26,0.9762114537444934,0.9235555555555556,0.9235555555555556,0.13226771597100792,0.16378637343625668,2026-07-17
OSCR,1,2026-06-24,20,0.9894273127753304,0.9484444444444444,0.9484444444444444,0.17880129621522536,0.25896822485014814,2026-07-17
LUNR,1,2026-06-24,20,0.9859030837004406,0.944,0.944,0.1286837787690643,0.28157383387669976,2026-07-17
SMR,1,2026-06-24,20,0.9814977973568282,0.984,0.984,0.3260914320452289,0.3790423114010518,2026-07-17
QUBT,1,2026-06-24,20,0.9797356828193832,0.9893333333333334,0.9893333333333334,0.3991300717053205,0.322275405328078,2026-07-17
FLNC,1,2026-06-29 00:00:00,14,0.9813333333333334,0.9973333333333333,0.9973333333333333,0.35179706692488055,0.5989071534065156,2026-07-17
JOBY,1,2026-06-29 00:00:00,14,0.976,0.9582222222222222,0.9582222222222222,0.22369125065497591,0.26154762942436055,2026-07-17
UEC,1,2026-07-07 00:00:00,8,0.976190476190476,0.9448888888888889,0.9448888888888889,0.21147381777094698,0.21802494219711896,2026-07-17
SNOW,1,2026-07-08 00:00:00,7,0.9803571428571428,0.9688888888888889,0.9688888888888889,0.2111672839708523,0.38425060704636116,2026-07-17
RDW,1,2026-07-14 00:00:00,3,0.9794642857142856,0.9884444444444445,0.9884444444444445,0.33012841164905204,0.38411130138897576,2026-07-17
NVTS,1,2026-07-17 00:00:00,0,0.9724444444444444,0.9724444444444444,0.9724444444444444,0.27375523496722054,0.2884161786982013,2026-07-17
