date,ticker,action,reason,pred,pred_signal,age,target_weight
2026-07-14,RCAT,HOLD,still_valid,0.9758928571428571,0.0,26.0,
2026-07-14,QS,HOLD,still_valid,0.9642857142857142,0.0,26.0,
2026-07-14,LUMN,HOLD,still_valid,0.91875,0.0,25.0,
2026-07-14,WDC,HOLD,still_valid,0.9473214285714286,0.0,24.0,
2026-07-14,SOUN,HOLD,still_valid,0.9339285714285714,0.0,23.0,
2026-07-14,OSCR,HOLD,still_valid,0.9598214285714286,0.0,17.0,
2026-07-14,LUNR,HOLD,still_valid,0.9455357142857143,0.0,17.0,
2026-07-14,SMR,HOLD,still_valid,0.9857142857142858,1.0,17.0,
2026-07-14,QUBT,HOLD,still_valid,0.9964285714285714,1.0,17.0,
2026-07-14,FLNC,HOLD,still_valid,0.9973214285714286,1.0,11.0,
2026-07-14,JOBY,HOLD,still_valid,0.9446428571428571,0.0,11.0,
2026-07-14,UEC,HOLD,still_valid,0.9071428571428573,0.0,5.0,
2026-07-14,SNOW,HOLD,still_valid,0.9874999999999999,1.0,4.0,
2026-07-14,RDW,BUY_NEXT_OPEN,new_buy_signal,0.9794642857142857,,,0.03333333333333333
