signal_date,exec_entry_date,exec_exit_date,ticker,side,entry_price,exit_price,position_return,holding_age,score,weight,contribution_return,contribution_pnl
2026-04-21,2026-04-22,2026-04-23,QS,1,7.170358576297761,9.656516738033295,0.34672717344342363,6,0.9833333333333334,0.09090909090909091,0.03152065213122033,34.72745426042343
2026-04-17,2026-04-20,2026-04-21,NVTS,1,12.130606614446641,14.444277444839479,0.19073001902785536,19,0.9885462555066079,0.125,0.02384125237848192,24.65964293888218
2026-03-25,2026-04-09,2026-04-10,EOSE,1,4.950247309255601,6.189690557217598,0.25038006599075957,19,1.0,0.09090909090909091,0.022761824180978142,19.205919405481307
2026-04-30,2026-05-01,2026-05-04,SOUN,1,8.095405017042161,9.539522961854935,0.17838736193836735,36,0.973568281938326,0.09090909090909091,0.01621703290348794,17.856265144958115
2026-03-10,2026-03-11,2026-03-12,NVTS,1,8.72043626704216,10.419479076290129,0.19483461116151912,20,0.9815789473684211,0.1,0.019483461116151915,17.336002942446736
2026-04-15,2026-04-16,2026-04-17,NVTS,1,10.450522309255602,12.199389809274674,0.16734737731435412,17,0.9885462555066079,0.1,0.016734737731435412,17.231613023177072
2026-04-17,2026-04-20,2026-04-21,SOUN,1,7.9113953249216085,8.849557881450654,0.11858370337957314,27,0.9807017543859649,0.125,0.014822962922446642,15.331785728409733
2026-02-25,2026-02-26,2026-02-27,MARA,1,8.430421805191042,9.67951630516052,0.1481651249289031,11,0.9789473684210526,0.1111111111111111,0.01646279165876701,15.293836289265203
2026-05-05,2026-05-06,2026-05-07,EXK,1,9.00045,10.16949157629013,0.1298870141259747,10,0.986784140969163,0.1,0.01298870141259747,14.504890313315883
2026-04-10,2026-04-13,2026-04-14,EOSE,1,5.48027401907444,6.409679347419739,0.1695910323298515,1,1.0,0.1,0.01695910323298515,14.26625939993991
2026-04-20,2026-04-21,2026-04-22,NVTS,1,14.445721944808962,16.12419375,0.11619161794777533,20,0.9885462555066079,0.1111111111111111,0.012910179771975035,14.17333945278431
2026-04-14,2026-04-15,2026-04-16,SMR,1,10.800540190744401,12.409379347419739,0.1489591379933055,11,0.993859649122807,0.1,0.014895913799330552,14.112879861384037
2026-04-14,2026-04-15,2026-04-16,QUBT,1,8.550427690744401,9.764512093305587,0.14199107301677993,38,0.9754385964912282,0.1,0.014199107301677994,13.452702411347754
2026-02-24,2026-02-25,2026-02-26,NVTS,1,8.67043357629776,9.81950869483948,0.1325279881830741,10,0.9815789473684211,0.1111111111111111,0.014725332020341566,13.438404039136381
2026-05-05,2026-05-06,2026-05-07,LUMN,1,8.850442881488801,9.879506114435197,0.11627251276868167,10,0.9876651982378855,0.1,0.011627251276868167,12.984516239072427
2026-04-14,2026-04-15,2026-04-16,SOUN,1,7.195359921669961,8.139593343305588,0.13122810143130148,24,0.9807017543859649,0.1,0.013122810143130149,12.432982997127098
2026-04-10,2026-04-13,2026-04-14,RDW,1,9.18045930519104,10.499475,0.1436764382870399,13,0.9850877192982456,0.1,0.014367643828703992,12.086283750403092
2026-04-21,2026-04-22,2026-04-23,NVTS,1,16.12580625,18.069096194839478,0.12050807970233901,21,0.9885462555066079,0.09090909090909091,0.010955279972939911,12.069832267003747
2026-04-10,2026-04-13,2026-04-14,SMR,1,9.05545305519104,10.33948315258026,0.1417963396821047,9,0.9956140350877193,0.1,0.01417963396821047,11.928126953861499
2026-02-24,2026-02-25,2026-02-26,QUBT,1,8.220411267042161,9.099545381450655,0.10694527145292332,4,0.987719298245614,0.1111111111111111,0.011882807939213702,10.844303815086896
2026-04-13,2026-04-14,2026-04-15,QUBT,1,7.595379540181161,8.549572690725327,0.12562810660037238,37,0.9754385964912282,0.09090909090909091,0.011420736963670217,10.619843485231094
2026-04-29,2026-04-30,2026-05-01,OWL,1,9.130456614446642,10.199489809274674,0.11708430804397629,8,0.9798245614035088,0.08333333333333333,0.009757025670331357,10.390187011356222
2026-04-10,2026-04-13,2026-04-14,SOUN,1,6.300315190744401,7.0696466716527935,0.12210999888364205,22,0.9859649122807017,0.1,0.012210999888364205,10.272081580423125
2026-03-30,2026-03-31,2026-04-01,SOUN,1,6.230311519074441,7.074646059274674,0.13552043707850836,14,0.9858407079646018,0.09090909090909091,0.012320039734409852,10.010847630018532
2026-05-05,2026-05-06,2026-05-07,QS,1,7.28536409740448,7.9296033283472065,0.08842924283938625,16,0.9911894273127753,0.1,0.008842924283938625,9.875170943808515
