signal_date,exec_entry_date,exec_exit_date,ticker,side,entry_price,exit_price,position_return,holding_age,score,weight,contribution_return,contribution_pnl
2026-04-22,2026-04-23,2026-04-24,QS,1,9.657482437992098,7.499625,-0.223438919184899,7,0.9833333333333334,0.09090909090909091,-0.020312629016809,-23.39573680519242
2026-05-06,2026-05-07,2026-05-08,LUMN,1,9.880494114446641,8.549572690725327,-0.1347019094698234,11,0.9903083700440529,0.125,-0.016837738683727926,-19.922120765882674
2026-02-10,2026-02-11,2026-02-12,FLNC,1,19.660982847404483,17.469125813388825,-0.1114825769915675,0,0.9982456140350877,0.14285714285714285,-0.015926082427366785,-15.49694488580798
2026-02-10,2026-02-11,2026-02-12,QS,1,9.04045196185112,8.179591305160523,-0.09522318799140306,1,0.9789473684210527,0.14285714285714285,-0.013603312570200437,-13.236763411607578
2026-02-26,2026-02-27,2026-03-02,SOUN,1,9.03045123295784,7.944602921652794,-0.12024297383303484,12,0.9842105263157895,0.1,-0.012024297383303484,-11.166814532544333
2026-02-20,2026-02-23,2026-02-24,COMP,1,10.220511267042161,9.039547961854934,-0.11554835901364846,6,0.9657894736842105,0.1111111111111111,-0.01283870655707205,-11.166662438709709
2026-02-09,2026-02-10,2026-02-11,SOUN,1,8.830441423702242,8.359581656694413,-0.053322336270072546,0,0.9833333333333334,0.2,-0.01066446725401451,-10.66446725401451
2026-04-20,2026-04-21,2026-04-22,SOUN,1,8.850442881488801,8.079595923709869,-0.08709699255742354,28,0.9807017543859649,0.1111111111111111,-0.009677443617491503,-10.62430545883132
2026-03-17,2026-03-18,2026-03-19,EOSE,1,5.68028382833004,5.149742595362663,-0.09340047944811103,13,1.0,0.125,-0.011675059931013879,-10.425183820797617
2026-02-26,2026-02-27,2026-03-02,MARA,1,9.680484305191039,8.609569156694413,-0.11062619541899998,12,0.9789473684210526,0.1,-0.0110626195419,-10.273716353691745
2026-05-06,2026-05-07,2026-05-08,QS,1,7.9303963283300405,7.379631114435196,-0.06944989772167198,17,0.9894273127753304,0.125,-0.008681237215208998,-10.27148950623679
2026-04-09,2026-04-10,2026-04-13,EOSE,1,6.190309557223321,5.479726019072532,-0.11478966141872926,0,1.0,0.1,-0.011478966141872927,-10.026586408368148
2026-02-26,2026-02-27,2026-03-02,EOSE,1,6.155307959818841,5.499725,-0.10650693094454622,0,0.9982456140350877,0.1,-0.010650693094454622,-9.891165415949663
2026-04-13,2026-04-14,2026-04-15,FSLY,1,24.52122645778656,21.758912228870397,-0.11264992122932782,1,0.9815789473684211,0.09090909090909091,-0.010240901929938893,-9.522745860403877
2026-02-09,2026-02-10,2026-02-11,MARA,1,8.0004,7.629618614435196,-0.0463453559278042,0,0.9964912280701754,0.2,-0.00926907118556084,-9.26907118556084
2026-02-24,2026-02-25,2026-02-26,LUMN,1,7.830391423702241,7.1196438855648045,-0.09076781730042716,1,0.9754385964912281,0.1111111111111111,-0.010085313033380795,-9.203901902959979
2026-03-31,2026-04-01,2026-04-02,OWL,1,9.280463732957841,8.239587771129608,-0.11215775329542588,28,0.9814977973568282,0.09090909090909091,-0.010196159390493263,-8.89309284192746
2026-04-24,2026-04-27,2026-04-28,EOSE,1,7.705385173702241,6.969651290202141,-0.09548307669434752,11,0.9964757709251102,0.08333333333333333,-0.007956923057862293,-8.766199881969168
2026-03-17,2026-03-18,2026-03-19,SOUN,1,7.700384809255601,7.1196438855648045,-0.07541713019234642,5,0.9912280701754386,0.125,-0.009427141274043302,-8.417916590342926
2026-02-10,2026-02-11,2026-02-12,SOUN,1,8.360417656660081,7.869606385564804,-0.05870654927200758,1,0.9798245614035088,0.14285714285714285,-0.008386649896001082,-8.160666743226495
2026-02-11,2026-02-12,2026-02-13,COMP,1,11.210560538148881,10.424478940725326,-0.07011974064531079,0,0.9657894736842105,0.125,-0.008764967580663849,-8.121113959583882
2026-03-31,2026-04-01,2026-04-02,NVTS,1,9.00045,8.119593885564804,-0.09786800820350061,7,0.9929515418502202,0.09090909090909091,-0.008897091654863692,-7.760045628907444
2026-03-31,2026-04-01,2026-04-02,SOUN,1,7.075353559255601,6.3896803664922714,-0.09691009601440592,15,0.9858407079646018,0.09090909090909091,-0.008810008728582357,-7.684091878214933
2026-04-07,2026-04-08,2026-04-09,SOUN,1,7.380369114446641,6.694665421652794,-0.09290913261392597,19,0.9859030837004406,0.09090909090909091,-0.00844628478308418,-7.67464597272029
2026-02-25,2026-02-26,2026-02-27,NVTS,1,9.820490694808964,9.109544156694412,-0.072394197012004,11,0.9815789473684211,0.1111111111111111,-0.008043799668000444,-7.472642417881286
