ticker,days_held,total_pnl,total_contribution_return,mean_position_return,median_position_return,hit_rate,best_day_return,worst_day_return
NVTS,8,13.894454147476932,0.013816531387190552,0.01474934312319176,0.0068239130503289225,0.75,0.05649485853755576,-0.011529116303977904
SOUN,26,8.909034194950978,0.010059569134416087,0.003920748977615125,0.00039052559408803145,0.5384615384615384,0.05610556972774017,-0.026381925473585977
QCOM,14,8.276089682770586,0.008039566449276553,0.006039219617515039,0.005243030034255747,0.6428571428571429,0.07095066761774849,-0.030822360440480256
OWL,30,6.824612738318239,0.007905729025305931,0.0016963036595923834,-0.0003660769816142828,0.5,0.03138878557569402,-0.02161938024279031
BE,17,6.109683438084463,0.005933817718512109,0.00289493474331309,0.00534732215807221,0.5882352941176471,0.05553081675441618,-0.027581782200308158
RDW,11,5.787123436694676,0.00588120061439878,0.00969043588407485,-0.004411981076141158,0.45454545454545453,0.11595066707425916,-0.025932429155164693
SBSW,52,5.530360470062953,0.006893459945685693,0.0006991874238468963,-0.0006943388177166887,0.4423076923076923,0.10627236651331406,-0.042715774659156325
AEO,2,5.342073514209981,0.005608682649179297,0.016826047947537892,0.016826047947537892,0.5,0.05416992462461789,-0.02051782872954211
EOSE,12,5.161616791441031,0.005977699260818669,0.001190457740622199,-0.005023574199542802,0.4166666666666667,0.05905719640259943,-0.02905189146175946
ACHR,7,3.266586654699806,0.003739783881220711,0.0018105355965439354,-0.006462967291588018,0.42857142857142855,0.036492832941293685,-0.019244422289918295
MRVL,4,2.921109079732057,0.003147192089514258,0.01090525937942527,0.011487758239784429,1.0,0.014930048476651248,0.005715472561480972
WDC,23,2.2598176572587794,0.0021759616820336276,-0.00014924012685024263,0.0018860711727561874,0.5217391304347826,0.03802139074394861,-0.06153060174364944
OSCR,11,1.3072813210639027,0.0014081635320281978,0.001890256528988433,-0.0008085900089862541,0.45454545454545453,0.020001198596286907,-0.010075861119939744
NOW,17,0.9430235759309905,0.0011167892412954844,0.0002958676980411497,0.0030020220652493546,0.5294117647058824,0.031849965639612066,-0.032598202742063376
SMCI,1,0.8564655499924709,0.0009636108539816421,0.008672497685834779,0.008672497685834779,1.0,0.008672497685834779,0.008672497685834779
DDOG,26,0.7992246330369326,0.0010261559607741863,0.00020841643099666756,-0.001605911892725187,0.4230769230769231,0.032231049970177006,-0.017687492381655012
HPE,5,0.0886533137703079,9.371378841064917e-05,0.0003975252035282706,0.0017448421312507012,0.6,0.005268639824999921,-0.003907476307220548
MRNA,11,-0.36174131183723224,-0.00027177735561326253,0.0005477015223328048,0.0009750007750022327,0.6363636363636364,0.02401990442319346,-0.02637185913336393
CLSK,4,-0.9932391365875786,-0.000991790841807083,-0.004031827032831892,-0.010564545074106424,0.25,0.029816069422354374,-0.024814287405469093
INFY,17,-1.1580082895172783,-0.0013257311853967092,-0.0007709870161191068,-0.0013700070942808118,0.29411764705882354,0.018880010625801136,-0.00992805257209406
CHWY,2,-1.2777159264617517,-0.0014380886436495856,-0.006585798142664356,-0.006585798142664356,0.0,-0.0022879849248244044,-0.010883611360504308
INTC,25,-1.455864526438057,-0.0016054845372603377,-0.0017123183934405527,-0.0031844621098776615,0.4,0.08579025343471858,-0.05384943789681951
ONDS,1,-3.155143350699748,-0.003515590950275524,-0.02812472760220419,-0.02812472760220419,0.0,-0.02812472760220419,-0.02812472760220419
ZETA,17,-3.2905629094819764,-0.003223985684446013,-0.002457202746183969,-0.0018268952049730336,0.4117647058823529,0.03147115278934254,-0.024734337976582088
PATH,43,-4.614676678984074,-0.005054203223024607,-0.0007337827969826472,-0.001029291347484973,0.4418604651162791,0.02441366941715173,-0.034465651958705545
S,33,-4.862802075280728,-0.004916725001810587,-0.0013537802487924595,-0.0019262221516798128,0.42424242424242425,0.028560478428852898,-0.02252440013803858
SNOW,26,-6.638895800203714,-0.006401875176243609,-0.002892942928510039,-0.002779606570763815,0.38461538461538464,0.021142262070092066,-0.051227358035021764
MU,18,-6.935457864237971,-0.006779602519317243,-0.005407293191704669,-0.00022941221622679864,0.5,0.014084135437149703,-0.07823899605277795
LUMN,45,-8.953005362230357,-0.008185936512968712,-0.0031470982015629786,-0.005372747043503545,0.4222222222222222,0.030200032094224616,-0.040520775608417825
UAMY,37,-9.353702302302779,-0.009310935422147242,-0.002692318928751547,-0.005689993277465999,0.35135135135135137,0.061204717418618326,-0.04802416590718517
LUNR,16,-10.419945102379238,-0.010305863302382959,-0.008728085419013008,-0.00769302874062644,0.375,0.024441091581587804,-0.06678048135820847
DELL,20,-10.891146963617262,-0.011753913735970331,-0.004216004424086417,0.0014384893531369514,0.6,0.022355255582929168,-0.05692572894727055
CRML,38,-11.474014591303696,-0.011475112150919483,-0.0032355676360379363,-0.0015860736617121507,0.42105263157894735,0.04756261004190465,-0.050614286066762326
QS,22,-11.865516292706046,-0.011556856409050567,-0.007003420192652382,-0.004200855376902568,0.4090909090909091,0.04403920534421579,-0.08662984046516253
ENPH,17,-12.028919322178073,-0.013081953777639958,-0.006228917605937918,-0.008267992930673596,0.35294117647058826,0.061661129937426784,-0.06482727882609529
RKLB,28,-13.020326970663335,-0.012450162325610257,-0.0038208348740285947,-0.0024063971171627285,0.42857142857142855,0.04136727546105168,-0.056260258505575145
EXK,42,-21.463331870450947,-0.021536587590790426,-0.005433205976716146,-0.0021432666193225702,0.35714285714285715,0.027108091684907798,-0.07946601690227006
