Date,ticker,action,pred,score,opposite_signal,weak_long,weak_short,too_old
2026-06-01 13:30:00,RKLB,BUY,0.9982532751091703,0.9982532751091703,,,,
2026-06-01 13:30:00,NVTS,BUY,0.993886462882096,0.993886462882096,,,,
2026-06-01 13:30:00,SBSW,BUY,0.9825327510917031,0.9825327510917031,,,,
2026-06-01 13:30:00,BE,BUY,0.97117903930131,0.97117903930131,,,,
2026-06-01 13:30:00,ENPH,BUY,0.9703056768558952,0.9703056768558952,,,,
2026-06-01 14:30:00,UAMY,BUY,0.9807860262008734,0.9807860262008734,,,,
2026-06-01 15:30:00,QCOM,BUY,0.9685589519650655,0.9685589519650655,,,,
2026-06-01 16:30:00,RDW,BUY,0.965938864628821,0.965938864628821,,,,
2026-06-01 17:30:00,EXK,BUY,0.97117903930131,0.97117903930131,,,,
2026-06-01 18:30:00,WDC,BUY,0.9755458515283844,0.9755458515283844,,,,
2026-06-01 19:30:00,RDW,EXIT,,,False,True,False,False
2026-06-01 19:30:00,INTC,BUY,0.9589519650655021,0.9589519650655021,,,,
2026-06-02 13:30:00,UAMY,EXIT,,,False,True,False,False
2026-06-02 13:30:00,SNOW,BUY,0.9834061135371179,0.9834061135371179,,,,
2026-06-02 13:30:00,LUMN,BUY,0.977292576419214,0.977292576419214,,,,
2026-06-02 14:30:00,NVTS,EXIT,,,False,True,False,False
2026-06-02 14:30:00,SBSW,EXIT,,,False,True,False,False
2026-06-02 14:30:00,BE,EXIT,,,False,True,False,False
2026-06-02 14:30:00,ENPH,EXIT,,,False,True,False,False
2026-06-02 14:30:00,S,BUY,0.9755458515283844,0.9755458515283844,,,,
2026-06-02 18:30:00,QS,BUY,0.965065502183406,0.965065502183406,,,,
2026-06-02 19:30:00,RDW,BUY,0.9877729257641922,0.9877729257641922,,,,
2026-06-03 13:30:00,EXK,EXIT,,,False,True,False,False
2026-06-03 13:30:00,WDC,EXIT,,,False,True,False,False
2026-06-03 13:30:00,SBSW,BUY,0.9580786026200874,0.9580786026200874,,,,
2026-06-03 14:30:00,LUNR,BUY,0.9737991266375545,0.9737991266375545,,,,
2026-06-03 15:30:00,QCOM,EXIT,,,False,True,False,False
2026-06-03 15:30:00,CRML,BUY,0.9930131004366812,0.9930131004366812,,,,
2026-06-03 15:30:00,ZETA,BUY,0.9572052401746725,0.9572052401746725,,,,
2026-06-03 17:30:00,WDC,BUY,0.9720524017467249,0.9720524017467249,,,,
2026-06-03 18:30:00,PATH,BUY,0.9624454148471615,0.9624454148471615,,,,
2026-06-03 19:30:00,DELL,BUY,0.9737991266375545,0.9737991266375545,,,,
2026-06-04 13:30:00,RDW,EXIT,,,False,True,False,False
2026-06-04 13:30:00,MU,BUY,0.9973799126637555,0.9973799126637555,,,,
2026-06-04 14:30:00,PATH,EXIT,,,False,True,False,False
2026-06-04 16:30:00,S,EXIT,,,False,True,False,False
2026-06-04 16:30:00,UAMY,BUY,0.9868995633187774,0.9868995633187774,,,,
2026-06-04 17:30:00,EXK,BUY,0.965938864628821,0.965938864628821,,,,
2026-06-05 13:30:00,RKLB,EXIT,,,False,True,False,False
2026-06-05 13:30:00,SBSW,EXIT,,,False,True,False,False
2026-06-05 13:30:00,WDC,EXIT,,,False,True,False,False
2026-06-05 13:30:00,DELL,EXIT,,,False,True,False,False
2026-06-05 13:30:00,EOSE,BUY,0.9851528384279475,0.9851528384279475,,,,
2026-06-05 13:30:00,BE,BUY,0.9755458515283844,0.9755458515283844,,,,
2026-06-05 14:30:00,ACHR,BUY,0.9921397379912664,0.9921397379912664,,,,
2026-06-05 14:30:00,ENPH,BUY,0.977292576419214,0.977292576419214,,,,
2026-06-05 14:30:00,CLSK,BUY,0.9755458515283842,0.9755458515283842,,,,
2026-06-05 16:30:00,INTC,EXIT,,,False,True,False,False
2026-06-05 16:30:00,LUNR,EXIT,,,False,True,False,False
2026-06-05 16:30:00,ENPH,EXIT,,,False,True,False,False
2026-06-05 18:30:00,SNOW,EXIT,,,False,True,False,False
2026-06-05 18:30:00,ZETA,EXIT,,,False,True,False,False
2026-06-05 18:30:00,MU,EXIT,,,False,True,False,False
2026-06-05 18:30:00,BE,EXIT,,,False,True,False,False
2026-06-05 18:30:00,CLSK,EXIT,,,False,True,False,False
2026-06-05 18:30:00,PATH,BUY,0.965938864628821,0.965938864628821,,,,
2026-06-05 19:30:00,QS,EXIT,,,False,True,False,False
2026-06-05 19:30:00,EOSE,EXIT,,,False,True,False,False
2026-06-05 19:30:00,ACHR,EXIT,,,False,True,False,False
2026-06-05 19:30:00,AEO,BUY,0.9615720524017468,0.9615720524017468,,,,
2026-06-08 14:30:00,AEO,EXIT,,,False,True,False,False
2026-06-08 14:30:00,ENPH,BUY,0.9842794759825328,0.9842794759825328,,,,
2026-06-08 15:30:00,LUMN,EXIT,,,False,False,False,True
2026-06-08 15:30:00,DELL,BUY,0.9676855895196506,0.9676855895196506,,,,
2026-06-08 16:30:00,SBSW,BUY,0.9694323144104804,0.9694323144104804,,,,
2026-06-09 14:30:00,ENPH,EXIT,,,False,True,False,False
2026-06-09 14:30:00,EOSE,BUY,0.9877729257641922,0.9877729257641922,,,,
2026-06-09 14:30:00,ONDS,BUY,0.9816593886462882,0.9816593886462882,,,,
2026-06-09 15:30:00,CRML,EXIT,,,False,True,False,False
2026-06-09 15:30:00,DELL,EXIT,,,False,True,False,False
2026-06-09 15:30:00,ONDS,EXIT,,,False,True,False,False
2026-06-09 15:30:00,SOUN,BUY,0.9851528384279475,0.9851528384279475,,,,
2026-06-09 15:30:00,OWL,BUY,0.976419213973799,0.976419213973799,,,,
2026-06-09 16:30:00,UAMY,EXIT,,,False,True,False,False
