Date,ticker,action,pred,score,opposite_signal,weak_long,weak_short,too_old
2026-05-18 13:30:00,MU,BUY,1.0,1.0,,,,
2026-05-18 13:30:00,SBSW,BUY,0.9956331877729258,0.9956331877729258,,,,
2026-05-18 13:30:00,INTC,BUY,0.9895196506550219,0.9895196506550219,,,,
2026-05-18 13:30:00,AMD,BUY,0.9860262008733625,0.9860262008733625,,,,
2026-05-18 13:30:00,FLNC,BUY,0.9781659388646288,0.9781659388646288,,,,
2026-05-18 15:30:00,FSLY,BUY,0.9807860262008734,0.9807860262008734,,,,
2026-05-18 17:30:00,UAMY,BUY,0.9799126637554585,0.9799126637554585,,,,
2026-05-19 14:30:00,LUMN,BUY,0.9799126637554585,0.9799126637554585,,,,
2026-05-19 17:30:00,RDW,BUY,0.9790393013100436,0.9790393013100436,,,,
2026-05-19 19:30:00,ONDS,BUY,0.9676855895196506,0.9676855895196506,,,,
2026-05-20 13:30:00,FSLY,EXIT,,,False,True,False,False
2026-05-20 13:30:00,RDW,EXIT,,,False,True,False,False
2026-05-20 13:30:00,COMP,BUY,0.9799126637554585,0.9799126637554585,,,,
2026-05-20 14:30:00,FLNC,EXIT,,,False,True,False,False
2026-05-20 14:30:00,WDC,BUY,0.9729257641921397,0.9729257641921397,,,,
2026-05-20 15:30:00,UAMY,EXIT,,,False,True,False,False
2026-05-20 15:30:00,GLW,BUY,0.9737991266375545,0.9737991266375545,,,,
2026-05-20 19:30:00,COMP,EXIT,,,False,True,False,False
2026-05-21 15:30:00,RKLB,BUY,0.9790393013100437,0.9790393013100437,,,,
2026-05-22 13:30:00,FSLY,BUY,0.9842794759825326,0.9842794759825326,,,,
2026-05-22 14:30:00,FLNC,BUY,0.9860262008733625,0.9860262008733625,,,,
2026-05-22 15:30:00,MU,EXIT,,,False,False,False,True
2026-05-22 15:30:00,SBSW,EXIT,,,False,False,False,True
2026-05-22 15:30:00,INTC,EXIT,,,False,False,False,True
2026-05-22 15:30:00,AMD,EXIT,,,False,False,False,True
2026-05-22 15:30:00,SBSW,BUY,0.9965065502183406,0.9965065502183406,,,,
2026-05-22 15:30:00,MU,BUY,0.9956331877729258,0.9956331877729258,,,,
2026-05-22 15:30:00,INTC,BUY,0.994759825327511,0.994759825327511,,,,
2026-05-22 15:30:00,AMD,BUY,0.9842794759825326,0.9842794759825326,,,,
2026-05-22 17:30:00,FLNC,EXIT,,,False,True,False,False
2026-05-26 13:30:00,BE,BUY,0.9825327510917031,0.9825327510917031,,,,
2026-05-26 15:30:00,ONDS,EXIT,,,False,True,False,False
2026-05-26 16:30:00,LUMN,EXIT,,,False,False,False,True
2026-05-26 16:30:00,FSLY,EXIT,,,False,True,False,False
2026-05-26 16:30:00,DELL,BUY,0.9729257641921397,0.9729257641921397,,,,
2026-05-26 18:30:00,FLNC,BUY,0.977292576419214,0.977292576419214,,,,
2026-05-27 14:30:00,CRML,BUY,0.9737991266375545,0.9737991266375545,,,,
2026-05-27 16:30:00,WDC,EXIT,,,False,False,False,True
2026-05-27 17:30:00,GLW,EXIT,,,False,False,False,True
2026-05-27 19:30:00,RKLB,EXIT,,,False,True,False,False
2026-05-27 19:30:00,CRML,EXIT,,,False,True,False,False
2026-05-28 13:30:00,DELL,EXIT,,,False,True,False,False
2026-05-28 13:30:00,GLW,BUY,0.9641921397379913,0.9641921397379913,,,,
2026-05-28 15:30:00,LUMN,BUY,0.9641921397379912,0.9641921397379912,,,,
2026-05-28 16:30:00,CRML,BUY,0.9703056768558953,0.9703056768558953,,,,
2026-05-28 18:30:00,FLNC,EXIT,,,False,True,False,False
2026-05-28 18:30:00,WDC,BUY,0.9851528384279477,0.9851528384279477,,,,
2026-05-28 19:30:00,ON,BUY,0.9633187772925764,0.9633187772925764,,,,
2026-05-29 13:30:00,UAMY,BUY,0.9895196506550219,0.9895196506550219,,,,
2026-05-29 13:30:00,RKLB,BUY,0.9790393013100436,0.9790393013100436,,,,
2026-05-29 17:30:00,SBSW,EXIT,,,False,False,False,True
2026-05-29 17:30:00,MU,EXIT,,,False,False,False,True
2026-05-29 17:30:00,INTC,EXIT,,,False,False,False,True
2026-05-29 17:30:00,AMD,EXIT,,,False,False,False,True
2026-05-29 17:30:00,SBSW,BUY,0.9965065502183406,0.9965065502183406,,,,
2026-05-29 17:30:00,MU,BUY,0.9868995633187773,0.9868995633187773,,,,
2026-05-29 19:30:00,INTC,BUY,0.9676855895196507,0.9676855895196507,,,,
2026-06-01 13:30:00,CRML,EXIT,,,False,True,False,False
2026-06-01 15:30:00,BE,EXIT,,,False,False,False,True
2026-06-01 15:30:00,LUMN,EXIT,,,False,True,False,False
2026-06-01 15:30:00,BE,BUY,0.988646288209607,0.988646288209607,,,,
2026-06-01 17:30:00,EXK,BUY,0.9825327510917031,0.9825327510917031,,,,
