Date,equity,daily_return,gross_return,turnover_cost,turnover,holdings,gross_exposure,regime_exposure,held_tickers,benchmark_return,benchmark_equity,exec_entry_date,exec_exit_date,missing_position_returns
2026-09-02,998.4736939525015,-0.0015263060474984451,-0.0011929727141651119,0.0003333333333333333,10,10,0.3112824819675697,1.0,"BF-B,BN,CSGP,MLI,NE,PLD,SFM,TDY,TPL,YUMC",0.005352240162641797,1005.3522401626418,2026-09-03T00:00:00,2026-09-04T00:00:00,0
2026-09-03,998.4942065846823,2.0543988594668783e-05,0.0002205439885946688,0.0002,6,14,0.4360113514726234,1.0,"BF-B,CSGP,CVCO,FRPT,ITW,MGM,MLI,NE,PLD,PSA,SFM,TDY,TPL,YUMC",-0.0038082439401255774,1001.5236135863507,2026-09-04T00:00:00,2026-09-08T00:00:00,0
2026-09-04,992.4683204886996,-0.00603497351936971,-0.005868306852703044,0.00016666666666666666,5,19,0.602323228476213,1.0,"BF-B,BN,CSGP,CVCO,EVRG,FRPT,ITW,KVUE,LNT,MGM,MLI,NE,PLD,PSA,SFM,TDY,TPL,UTHR,YUMC",-0.006488343306659927,995.0253845516759,2026-09-08T00:00:00,2026-09-09T00:00:00,0
2026-09-08,980.6436976320671,-0.011914357982539914,-0.011781024649206582,0.00013333333333333334,4,23,0.7206499320297445,1.0,"BF-B,BN,BSY,CCK,CSGP,CVCO,EVRG,FRPT,ITW,KVUE,LNT,MGM,MLI,MMYT,NE,PLD,PSA,SFM,TDY,TPL,UTHR,WLK,YUMC",-0.007918002902381094,987.1467706688528,2026-09-09T00:00:00,2026-09-10T00:00:00,0
2026-09-09,981.5017217063191,0.0008749600658464251,0.0009082933991797585,3.3333333333333335e-05,1,24,0.7507703240218636,1.0,"BF-B,BN,BSY,CCK,CSGP,CVCO,EVRG,FRPT,ITW,KVUE,LNT,MGM,MLI,MMYT,NE,PLD,PSA,SFM,TDY,TPL,UTHR,WLK,YUMC,ZIM",0.008825430586774319,995.8587659723491,2026-09-10T00:00:00,2026-09-11T00:00:00,0
2026-09-10,979.0970776702563,-0.0024499641548080533,-0.00231663082147472,0.00013333333333333334,4,28,0.8810578037896155,1.0,"BF-B,BN,BSY,CCK,CP,CSGP,CVCO,EVRG,FRPT,ITW,KVUE,LH,LNT,MGM,MLI,MMYT,NE,NLY,PFSI,PLD,PSA,SFM,TDY,TPL,UTHR,WLK,YUMC,ZIM",-0.007479823886207271,988.4099177873403,2026-09-11T00:00:00,2026-09-14T00:00:00,0
