signal_date,exec_entry_date,exec_exit_date,ticker,side,entry_price,exit_price,position_return,holding_age,score,weight,regime_exposure,position_risk_scale,rolling_vol,rolling_beta,contribution_return,contribution_pnl
2026-09-10,2026-09-11,2026-09-14,CSGP,1,29.71999931335449,31.170000076293945,0.0487887212799467,5,0.9747340425531916,0.0254284979451985,1.0,0.7628549383559556,0.5029484000951934,0.2645402882046883,0.0012406238988159,1.217674492677812
2026-09-04,2026-09-08,2026-09-09,TPL,1,369.4700012207031,383.7999877929688,0.0387852505613999,2,0.9747003994673769,0.0293713743290947,1.0,0.8811412298728429,0.4367923078177813,0.3225658722071285,0.0011391761126866,1.1374607487972292
2026-09-10,2026-09-11,2026-09-14,TPL,1,363.010009765625,375.3999938964844,0.0341312465153753,5,0.9747003994673769,0.0291921343031891,1.0,0.8757640290956754,0.4381050808252931,0.2910724803953793,0.000996363932212,0.9779329149121562
2026-09-03,2026-09-04,2026-09-08,SFM,1,78.77999877929688,81.4000015258789,0.0332572072503072,1,0.9946595460614152,0.0280826722615956,1.0,0.8424801678478697,0.4575418478481696,0.0934915704424559,0.0009339512515463,0.9325257561029962
2026-09-10,2026-09-11,2026-09-14,BSY,1,30.96999931335449,31.89999961853028,0.030029070900714,2,0.964095744680851,0.0297624211792637,1.0,0.892872635377913,0.4297104150677124,0.5017078610452701,0.000893737855769,0.8772052441913873
2026-09-09,2026-09-10,2026-09-11,MMYT,1,48.130001068115234,49.91999816894531,0.0371908801393294,1,0.992686170212766,0.0232938765888578,1.0,0.6988162976657364,0.5518303478900403,1.2269345357174082,0.0008663197721965,0.8495510247385458
2026-09-03,2026-09-04,2026-09-08,TPL,1,360.30999755859375,369.4700012207031,0.0254225631377873,1,0.9747003994673769,0.029416577723274,1.0,0.88249733169822,0.4367944456339345,0.3157686876276213,0.0007478448044675,0.746703364419851
2026-09-09,2026-09-10,2026-09-11,ITW,1,262.57000732421875,267.94000244140625,0.0204516699066725,3,0.9686248331108144,0.0333333333333333,1.0,1.0,0.2279870913136309,0.5001653517489523,0.0006817223302224,0.6685267066676435
2026-09-09,2026-09-10,2026-09-11,CCK,1,111.83000183105467,114.06999969482422,0.0200303838602595,1,0.9654255319148936,0.0333333333333333,1.0,1.0,0.2501410798115635,0.467987514785475,0.0006676794620086,0.6547556564571028
2026-09-03,2026-09-04,2026-09-08,MLI,1,62.72999954223633,63.90999984741211,0.0188107813452362,1,0.9760319573901464,0.0333333333333333,1.0,1.0,0.3482832014876314,0.573277392068034,0.0006270260448412,0.6260690111970199
2026-09-09,2026-09-10,2026-09-11,BF-B,1,26.209999084472656,26.700000762939453,0.0186952192133835,4,0.9993351063829788,0.0333333333333333,1.0,1.0,0.3621424468004735,0.0166593226265695,0.0006231739737794,0.6111116299150996
2026-09-09,2026-09-10,2026-09-11,TDY,1,593.4000244140625,603.8800048828125,0.017660903332618,4,0.988031914893617,0.0333333333333333,1.0,1.0,0.2432598434936819,1.0986521523883557,0.0005886967777539,0.5773017849206677
2026-09-04,2026-09-08,2026-09-09,UTHR,1,494.739990234375,502.75,0.0161903422479157,0,0.9587765957446808,0.0333333333333333,1.0,1.0,0.22381483214204,0.2585781983439429,0.0005396780749305,0.5388654312388783
2026-09-03,2026-09-04,2026-09-08,FRPT,1,68.91000366210938,70.2699966430664,0.0197357844824035,0,0.9686248331108144,0.0235332930094596,1.0,0.70599879028379,0.5459923417398538,0.4257981007072549,0.0004644479989959,0.463739109206284
2026-09-02,2026-09-03,2026-09-04,BF-B,1,27.1200008392334,27.479999542236328,0.0132742880480347,0,1.0,0.0333333333333333,1.0,1.0,0.3556117876393059,-0.0118672646768239,0.0004424762682678,0.44247626826779995
2026-09-09,2026-09-10,2026-09-11,BN,1,38.209999084472656,38.68000030517578,0.0123004771516499,2,0.9840425531914894,0.0333333333333333,1.0,1.0,0.2250970660643606,1.4517585649450575,0.0004100159050549,0.40207951322099567
2026-09-10,2026-09-11,2026-09-14,LH,1,310.5400085449219,314.1199951171875,0.011528261975132,0,0.9640957446808512,0.0333333333333333,1.0,1.0,0.2320691044238572,0.283416612857392,0.000384275399171,0.3771669658957196
2026-09-04,2026-09-08,2026-09-09,EVRG,1,81.44999694824219,82.36000061035156,0.0111725438453686,0,0.9700797872340424,0.0333333333333333,1.0,1.0,0.1682088458387228,-0.0431471083743433,0.0003724181281789,0.37185734341374327
2026-09-02,2026-09-03,2026-09-04,MLI,1,62.04705883026693,62.72999954223633,0.0110068184510987,0,0.9760319573901464,0.0333333333333333,1.0,1.0,0.3467371561253496,0.5684126647448592,0.0003668939483699,0.3668939483699
2026-09-10,2026-09-11,2026-09-14,SFM,1,72.54000091552734,73.52999877929688,0.013647613058654,5,0.9893617021276596,0.027315474813149,1.0,0.8194642443944714,0.4682042851477386,0.1160165645108322,0.0003727910307632,0.36589503853075417
