Date,ticker,side,entry_date,age,entry_score,score,pred,pred_cat,pred_lgbm,target_weight,regime_exposure,position_risk_scale,rolling_vol,rolling_beta
2026-09-02,BF-B,1,2026-09-02,0,1.0,1.0,0.5239097597104105,0.4031763034119705,0.6446432160088506,0.0333333333333333,1.0,1.0,0.3556117876393059,-0.0118672646768239
2026-09-02,BN,1,2026-09-02,0,0.9760319573901464,0.9760319573901464,0.3692558920047205,0.230071691530602,0.5084400924788389,0.0333333333333333,1.0,1.0,0.2359030040467232,1.4314594814554384
2026-09-02,CSGP,1,2026-09-02,0,0.978029294274301,0.978029294274301,0.32482654210017,0.2427736721607659,0.4068794120395742,0.0260481994954554,1.0,0.7814459848636633,0.4971486120673306,0.2520897374515467
2026-09-02,MLI,1,2026-09-02,0,0.9760319573901464,0.9760319573901464,0.3024805476002625,0.2877368408098801,0.3172242543906449,0.0333333333333333,1.0,1.0,0.3467371561253496,0.5684126647448592
2026-09-02,NE,1,2026-09-02,0,0.9793608521970706,0.9793608521970706,0.3012823979569078,0.2762406823430713,0.3263241135707444,0.0297246694451021,1.0,0.8917400833530633,0.435659217335802,0.3512761508375241
2026-09-02,PLD,1,2026-09-02,0,0.9673768308921438,0.9673768308921438,0.2823206146553049,0.2628242885211712,0.3018169407894385,0.0333333333333333,1.0,1.0,0.2370520664327384,0.4489241244382537
2026-09-02,SFM,1,2026-09-02,0,0.9893475366178428,0.9893475366178428,0.3584908443230761,0.3514630139184219,0.3655186747277302,0.0284555484132363,1.0,0.8536664523970907,0.4550896731266259,0.1044341387427039
2026-09-02,TDY,1,2026-09-02,0,0.9680426098535286,0.9680426098535286,0.2824130863205967,0.2470772478745289,0.3177489247666645,0.0333333333333333,1.0,1.0,0.2500457449247438,1.1021968370728297
2026-09-02,TPL,1,2026-09-02,0,0.9747003994673769,0.9747003994673769,0.2976237305620317,0.2781211769305102,0.3171262841935533,0.0270540646137761,1.0,0.8116219384132857,0.4786647186251059,0.3115386645339016
2026-09-02,YUMC,1,2026-09-02,0,0.9647137150466044,0.9647137150466044,0.2826753423942211,0.2885744383535691,0.2767762464348732,0.0333333333333333,1.0,1.0,0.2550831496910306,0.318829536491632
2026-09-03,BF-B,1,2026-09-02,1,1.0,0.9993324432576768,0.487735649943559,0.3152497352017726,0.6602215646853455,0.0333333333333333,1.0,1.0,0.3629414016398121,-0.0165959855265994
2026-09-03,CSGP,1,2026-09-02,1,0.978029294274301,0.978029294274301,0.1954912081612682,0.1563539510028035,0.2346284653197329,0.0257536865026945,1.0,0.7726105950808371,0.4989187764532523,0.2428242828403583
2026-09-03,CVCO,1,2026-09-03 00:00:00,0,0.972630173564753,0.972630173564753,0.2800967868773962,0.2584491972515948,0.3017443765031977,0.0333333333333333,1.0,1.0,0.3389615036212548,1.225416439586786
2026-09-03,FRPT,1,2026-09-03 00:00:00,0,0.9686248331108144,0.9686248331108144,0.2777584478783264,0.1948733928336598,0.360643502922993,0.0235332930094596,1.0,0.70599879028379,0.5459923417398538,0.4257981007072549
2026-09-03,ITW,1,2026-09-03 00:00:00,0,0.9686248331108144,0.9686248331108144,0.267070479703916,0.2080749921762361,0.3260659672315959,0.0333333333333333,1.0,1.0,0.2269030777639553,0.4989289795002798
2026-09-03,MGM,1,2026-09-03 00:00:00,0,0.9779706275033376,0.9779706275033376,0.2844131603174238,0.2116022784275566,0.3572240422072911,0.0333333333333333,1.0,1.0,0.2189239782209108,0.8101409214210329
2026-09-03,MLI,1,2026-09-02,1,0.9760319573901464,0.9760319573901464,0.2560871786645304,0.1985830814947186,0.3135912758343421,0.0333333333333333,1.0,1.0,0.3482832014876314,0.573277392068034
2026-09-03,NE,1,2026-09-02,1,0.9793608521970706,0.9793608521970706,0.2533654057527839,0.2370177846089859,0.2697130268965818,0.0292251219756,1.0,0.876753659268,0.4396559155445996,0.3563963733092035
2026-09-03,PLD,1,2026-09-02,1,0.9673768308921438,0.9773030707610146,0.2804580721004066,0.2465725891361057,0.3143435550647076,0.0333333333333333,1.0,1.0,0.240298243291965,0.4337018818128683
2026-09-03,PSA,1,2026-09-03 00:00:00,0,0.9766355140186916,0.9766355140186916,0.297684705304453,0.2089491901663017,0.3864202204426042,0.0333333333333333,1.0,1.0,0.2231002290821802,0.3686882151726026
2026-09-03,SFM,1,2026-09-02,1,0.9893475366178428,0.9946595460614152,0.366959668279876,0.3392956185959256,0.3946237179638264,0.0280826722615956,1.0,0.8424801678478697,0.4575418478481696,0.0934915704424559
2026-09-03,TDY,1,2026-09-02,1,0.9680426098535286,0.9826435246995996,0.3060738206392023,0.2120179720254735,0.4001296692529311,0.0333333333333333,1.0,1.0,0.2503955587501972,1.1035714615452576
2026-09-03,TPL,1,2026-09-02,1,0.9747003994673769,0.9747003994673769,0.1957084855142081,0.1822994559542045,0.2091175150742117,0.029416577723274,1.0,0.88249733169822,0.4367944456339345,0.3157686876276213
2026-09-03,YUMC,1,2026-09-02,1,0.9647137150466044,0.97196261682243,0.269808967130162,0.2108553744599096,0.3287625598004144,0.0333333333333333,1.0,1.0,0.2542055067453421,0.3070420783860124
2026-09-04,BF-B,1,2026-09-02,2,1.0,0.9993351063829788,0.4212689664298198,0.3269952594620936,0.515542673397546,0.0333333333333333,1.0,1.0,0.3607231510382285,-0.0020525098844467
2026-09-04,BN,1,2026-09-04 00:00:00,0,0.9667553191489362,0.9667553191489362,0.3279429445468298,0.1755807920848096,0.4803050970088499,0.0333333333333333,1.0,1.0,0.2208126868856051,1.4492040820384335
2026-09-04,CSGP,1,2026-09-02,2,0.978029294274301,0.978029294274301,0.2290147544595868,0.2023780576336287,0.2556514512855449,0.0256876024176441,1.0,0.7706280725293256,0.4994312107607669,0.2516884855561306
2026-09-04,CVCO,1,2026-09-03 00:00:00,1,0.972630173564753,0.972630173564753,0.2421699460379679,0.2400494395748169,0.2442904525011189,0.0333333333333333,1.0,1.0,0.3383816457849203,1.2140290189508098
2026-09-04,EVRG,1,2026-09-04 00:00:00,0,0.9700797872340424,0.9700797872340424,0.2776961966277477,0.1974593042495294,0.3579330890059659,0.0333333333333333,1.0,1.0,0.1682088458387228,-0.0431471083743433
2026-09-04,FRPT,1,2026-09-03 00:00:00,1,0.9686248331108144,0.9686248331108144,0.2781611054264774,0.1740581218677413,0.3822640889852134,0.0234988639511152,1.0,0.7049659185334565,0.5459493873267175,0.4223784858864044
2026-09-04,ITW,1,2026-09-03 00:00:00,1,0.9686248331108144,0.9686248331108144,0.2528167296564921,0.170406996110008,0.3352264632029763,0.0333333333333333,1.0,1.0,0.2274552454786119,0.5033608710109025
2026-09-04,KVUE,1,2026-09-04 00:00:00,0,0.9680851063829788,0.9680851063829788,0.3170926470815863,0.1820724141472492,0.4521128800159233,0.0333333333333333,1.0,1.0,0.2367558265935021,0.1224034631620809
2026-09-04,LNT,1,2026-09-04 00:00:00,0,0.976063829787234,0.976063829787234,0.2805564959046521,0.2225322578286956,0.3385807339806085,0.0333333333333333,1.0,1.0,0.1863860403524693,-0.0935299495657911
2026-09-04,MGM,1,2026-09-03 00:00:00,1,0.9779706275033376,0.9779706275033376,0.232667643479693,0.1827397405093797,0.2825955464500063,0.0333333333333333,1.0,1.0,0.2189265703079687,0.8077786012521221
2026-09-04,MLI,1,2026-09-02,2,0.9760319573901464,0.9760319573901464,0.1823988793863663,0.1658987349719906,0.1988990238007419,0.0333333333333333,1.0,1.0,0.3487320940707996,0.5804050480178812
2026-09-04,NE,1,2026-09-02,2,0.9793608521970706,0.9793608521970706,0.2544751026313958,0.2881186988443838,0.2208315064184078,0.0290039377275678,1.0,0.8701181318270349,0.4423258144286828,0.3452341797535573
2026-09-04,PLD,1,2026-09-02,2,0.9673768308921438,0.9847074468085106,0.297014524143065,0.2554313516939316,0.3385976965921984,0.0333333333333333,1.0,1.0,0.2400640424775576,0.4399918933850971
2026-09-04,PSA,1,2026-09-03 00:00:00,1,0.9766355140186916,0.9827127659574468,0.304172166052674,0.222988126628954,0.385356205476394,0.0333333333333333,1.0,1.0,0.2228484126890527,0.3720644374698404
2026-09-04,SFM,1,2026-09-02,2,0.9893475366178428,0.9946595460614152,0.2375364662502591,0.2734765144900948,0.2015964180104234,0.028094783384125,1.0,0.8428435015237515,0.4566395904029063,0.0970092715283509
2026-09-04,TDY,1,2026-09-02,2,0.9680426098535286,0.9680851063829788,0.2978738288898707,0.1823390734202718,0.4134085843594696,0.0333333333333333,1.0,1.0,0.2504432561103374,1.0964378061784663
2026-09-04,TPL,1,2026-09-02,2,0.9747003994673769,0.9747003994673769,0.2015174227883581,0.211763266562756,0.1912715790139602,0.0293713743290947,1.0,0.8811412298728429,0.4367923078177813,0.3225658722071285
2026-09-04,UTHR,1,2026-09-04 00:00:00,0,0.9587765957446808,0.9587765957446808,0.2600753707527509,0.181532592331317,0.3386181491741848,0.0333333333333333,1.0,1.0,0.22381483214204,0.2585781983439429
2026-09-04,YUMC,1,2026-09-02,2,0.9647137150466044,0.97196261682243,0.223940087367065,0.2181776827604955,0.2297024919736344,0.0333333333333333,1.0,1.0,0.2588247771695862,0.2867255895585839
2026-09-08,BF-B,1,2026-09-02,3,1.0,0.9993351063829788,0.2828135630945321,0.4038293043244962,0.1617978218645678,0.0333333333333333,1.0,1.0,0.3617330245654105,0.006163598912814
2026-09-08,BN,1,2026-09-04 00:00:00,1,0.9667553191489362,0.9667553191489362,0.2627219571923625,0.28330430708745,0.242139607297275,0.0333333333333333,1.0,1.0,0.2201678808199302,1.4443684045756164
2026-09-08,BSY,1,2026-09-08 00:00:00,0,0.9860372340425532,0.9860372340425532,0.3342187135186037,0.3090098434993842,0.3594275835378234,0.0302156319107754,1.0,0.9064689573232634,0.423418543287295,0.4867404375740534
2026-09-08,CCK,1,2026-09-08 00:00:00,0,0.9654255319148936,0.9654255319148936,0.2700073552233216,0.2726689029981939,0.2673458074484494,0.0333333333333333,1.0,1.0,0.2493965529910833,0.4573956662023971
2026-09-08,CSGP,1,2026-09-02,3,0.978029294274301,0.9627659574468086,0.2676673091126553,0.3424577965964642,0.1928768216288465,0.0255134001507536,1.0,0.7654020045226105,0.501456441421733,0.2497976112905199
2026-09-08,CVCO,1,2026-09-03 00:00:00,2,0.972630173564753,0.972630173564753,0.2531257319891583,0.2861846479264024,0.2200668160519142,0.0333333333333333,1.0,1.0,0.3388313444255351,1.195605055933475
2026-09-08,EVRG,1,2026-09-04 00:00:00,1,0.9700797872340424,0.9700797872340424,0.1765000061872473,0.2553549896397699,0.0976450227347248,0.0333333333333333,1.0,1.0,0.16496364297051,-0.0426361865068651
2026-09-08,FRPT,1,2026-09-03 00:00:00,2,0.9686248331108144,0.9686248331108144,0.2939961054119107,0.2543205174167547,0.3336716934070667,0.0234367493827987,1.0,0.703102481483961,0.545888793671858,0.4212595258980041
2026-09-08,ITW,1,2026-09-03 00:00:00,2,0.9686248331108144,0.9686248331108144,0.2180063559219177,0.2020591842464322,0.2339535275974032,0.0333333333333333,1.0,1.0,0.2276653244699202,0.4984100783281881
2026-09-08,KVUE,1,2026-09-04 00:00:00,1,0.9680851063829788,0.9680851063829788,0.3913109210252672,0.2606142234598,0.5220076185907345,0.0333333333333333,1.0,1.0,0.2178181364358528,0.1237562702965741
2026-09-08,LNT,1,2026-09-04 00:00:00,1,0.976063829787234,0.9714095744680852,0.295831074189303,0.2745621162146707,0.3171000321639353,0.0333333333333333,1.0,1.0,0.1812279665018849,-0.0948158269810516
2026-09-08,MGM,1,2026-09-03 00:00:00,2,0.9779706275033376,0.9779706275033376,0.2306966040309177,0.2879305454978518,0.1734626625639836,0.0333333333333333,1.0,1.0,0.2186895552930775,0.8226059833920233
2026-09-08,MLI,1,2026-09-02,3,0.9760319573901464,0.9760319573901464,0.1602462644746171,0.2696909062545695,0.0508016226946646,0.0333333333333333,1.0,1.0,0.3500325855214058,0.5668559364820914
2026-09-08,MMYT,1,2026-09-08 00:00:00,0,0.992686170212766,0.992686170212766,0.413199524012539,0.3246619909008415,0.5017370571242364,0.0228526979836277,1.0,0.6855809395088316,0.5598401929317715,1.216504040591331
2026-09-08,NE,1,2026-09-02,3,0.9793608521970706,0.9793608521970706,0.2447189062778914,0.3682091432393561,0.1212286693164267,0.0290154425387047,1.0,0.8704632761611417,0.4409327492110267,0.3373912973840869
2026-09-08,PLD,1,2026-09-02,3,0.9673768308921438,0.9847074468085106,0.209683861029402,0.2882575526332216,0.1311101694255824,0.0333333333333333,1.0,1.0,0.2401823067074649,0.4368444675462348
2026-09-08,PSA,1,2026-09-03 00:00:00,2,0.9766355140186916,0.9827127659574468,0.236447993841979,0.2335625264465693,0.2393334612373887,0.0333333333333333,1.0,1.0,0.2233219567628469,0.3759031344449927
2026-09-08,SFM,1,2026-09-02,3,0.9893475366178428,0.9900265957446808,0.3308477984875595,0.3610746687680968,0.3006209282070223,0.0280999939046212,1.0,0.842999817138636,0.4552975666682129,0.081985460800911
2026-09-08,TDY,1,2026-09-02,3,0.9680426098535286,0.9680851063829788,0.1631855883306059,0.2186176221151434,0.1077535545460685,0.0333333333333333,1.0,1.0,0.2448572268103917,1.0959701928350745
2026-09-08,TPL,1,2026-09-02,3,0.9747003994673769,0.9747003994673769,0.2104317917122611,0.2740047249449578,0.1468588584795643,0.0297856142452371,1.0,0.8935684273571144,0.4295314759275593,0.3173661865819771
2026-09-08,UTHR,1,2026-09-04 00:00:00,1,0.9587765957446808,0.9587765957446808,0.2352502327393266,0.2692047060418157,0.2012957594368376,0.0333333333333333,1.0,1.0,0.2236380490269705,0.2745878940554753
2026-09-08,WLK,1,2026-09-08 00:00:00,0,0.9674202127659576,0.9674202127659576,0.2624842325418053,0.2876825354428971,0.2372859296407134,0.0317304019132265,1.0,0.9519120573967954,0.4032050675926878,0.6414776269888598
2026-09-08,YUMC,1,2026-09-02,3,0.9647137150466044,0.97196261682243,0.2267812292448123,0.3071524843339401,0.1464099741556845,0.0333333333333333,1.0,1.0,0.2588723274988164,0.2848501843931672
2026-09-09,BF-B,1,2026-09-02,4,1.0,0.9993351063829788,0.2814574231453411,0.3876447491945144,0.1752700970961679,0.0333333333333333,1.0,1.0,0.3621424468004735,0.0166593226265695
