ticker,side,entry_date,age,entry_score,score,pred,pred_cat,pred_lgbm,target_weight,regime_exposure,position_risk_scale,rolling_vol,rolling_beta
BF-B,1,2026-09-02,6,1.0,0.9993351063829788,0.1726421794667985,0.3519505915672141,-0.0066662326336169,0.0333333333333333,1.0,1.0,0.3619771946661713,0.0244806157919917
BN,1,2026-09-04 00:00:00,4,0.9667553191489362,0.9680851063829788,0.3097826775065223,0.3724672661805182,0.2470980888325264,0.0333333333333333,1.0,1.0,0.2188838094576461,1.4554142167353763
BSY,1,2026-09-08 00:00:00,3,0.9860372340425532,0.964095744680851,0.3101169697003892,0.3085927589215246,0.3116411804792538,0.0297624211792637,1.0,0.892872635377913,0.4297104150677124,0.5017078610452701
CCK,1,2026-09-08 00:00:00,3,0.9654255319148936,0.9654255319148936,0.2365014679090185,0.3620961687143926,0.1109067671036444,0.0333333333333333,1.0,1.0,0.241201873228109,0.4719940569452585
CP,1,2026-09-10 00:00:00,1,0.96343085106383,0.96343085106383,0.301953437466351,0.334552423525652,0.26935445140705,0.0333333333333333,1.0,1.0,0.218028476563083,0.488801734224232
CSGP,1,2026-09-02,6,0.978029294274301,0.9747340425531916,0.3128671384450047,0.3528025309709525,0.2729317459190568,0.0254284979451985,1.0,0.7628549383559556,0.5029484000951934,0.2645402882046883
CVCO,1,2026-09-03 00:00:00,5,0.972630173564753,0.9773936170212766,0.2610209929478961,0.3772578248103833,0.1447841610854089,0.0333333333333333,1.0,1.0,0.3387419628594923,1.2060444399927095
EVRG,1,2026-09-04 00:00:00,4,0.9700797872340424,0.9700797872340424,0.1254018463150484,0.2470061530069049,0.003797539623192,0.0333333333333333,1.0,1.0,0.1627381465883417,-0.0400160680245006
FRPT,1,2026-09-03 00:00:00,5,0.9686248331108144,0.9700797872340424,0.2690950514801711,0.3310382058442845,0.2071518971160578,0.0232035242543044,1.0,0.6961057276291349,0.5511758566584546,0.4448007712543488
ITW,1,2026-09-03 00:00:00,5,0.9686248331108144,0.9686248331108144,0.2654709042807032,0.2921665945239178,0.2387752140374885,0.0333333333333333,1.0,1.0,0.2288493148740096,0.5050253512790124
KVUE,1,2026-09-04 00:00:00,4,0.9680851063829788,0.9747340425531916,0.3238719993868788,0.2547682856611827,0.3929757131125748,0.0333333333333333,1.0,1.0,0.2278099157636651,0.1222705430570972
LH,1,2026-09-10 00:00:00,1,0.9640957446808512,0.9640957446808512,0.3020549077207821,0.3364069461632615,0.2677028692783028,0.0333333333333333,1.0,1.0,0.2320691044238572,0.283416612857392
LNT,1,2026-09-04 00:00:00,4,0.976063829787234,0.9714095744680852,0.1533641195794619,0.1849401336271959,0.1217881055317279,0.0333333333333333,1.0,1.0,0.1798820584217213,-0.0937239891456915
MGM,1,2026-09-03 00:00:00,5,0.9779706275033376,0.9779706275033376,0.2736373989394657,0.3252188765961804,0.2220559212827511,0.0333333333333333,1.0,1.0,0.2194297972034695,0.8247982366688944
MLI,1,2026-09-02,6,0.9760319573901464,0.9760319573901464,0.2673053601845019,0.3023301900734456,0.2322805302955582,0.0333333333333333,1.0,1.0,0.3479861268515278,0.5661751741136831
MMYT,1,2026-09-08 00:00:00,3,0.992686170212766,0.9860372340425532,0.3507606907925494,0.3560883721716096,0.3454330094134892,0.021975844072433,1.0,0.6592753221729921,0.5819672871816814,1.253904745225774
NE,1,2026-09-02,6,0.9793608521970706,0.9773936170212768,0.3316644739343256,0.3978024760627221,0.2655264718059291,0.0297437545492835,1.0,0.8923126364785058,0.4299800933728986,0.331779333126551
NLY,1,2026-09-10 00:00:00,1,0.9714095744680852,0.9714095744680852,0.3083511171905574,0.3453671397975164,0.2713350945835985,0.0333333333333333,1.0,1.0,0.1742022695308108,0.5820247813993784
PFSI,1,2026-09-10 00:00:00,1,0.9900265957446808,0.9900265957446808,0.3629588706352769,0.3940495495479211,0.3318681917226326,0.0333333333333333,1.0,1.0,0.3555918560408419,0.7245567665772631
PLD,1,2026-09-02,6,0.9673768308921438,0.9847074468085106,0.2509351182659937,0.3792015493960305,0.1226686871359567,0.0333333333333333,1.0,1.0,0.2331168027739532,0.4417018075693243
PSA,1,2026-09-03 00:00:00,5,0.9766355140186916,0.9827127659574468,0.1884535119798557,0.2829764861491274,0.093930537810584,0.0333333333333333,1.0,1.0,0.2139745250349223,0.3883870192022963
SFM,1,2026-09-02,6,0.9893475366178428,0.9893617021276596,0.2694461080651792,0.3539323777420284,0.1849598383883301,0.027315474813149,1.0,0.8194642443944714,0.4682042851477386,0.1160165645108322
TDY,1,2026-09-02,6,0.9680426098535286,0.988031914893617,0.2748118459414708,0.331501737991644,0.2181219538912976,0.0333333333333333,1.0,1.0,0.24428209278787,1.1030078154976977
TPL,1,2026-09-02,6,0.9747003994673769,0.9747003994673769,0.2316685989199995,0.2690897413546955,0.1942474564853036,0.0291921343031891,1.0,0.8757640290956754,0.4381050808252931,0.2910724803953793
UTHR,1,2026-09-04 00:00:00,4,0.9587765957446808,0.9674202127659576,0.2035592053045117,0.2391003249124259,0.1680180856965976,0.0333333333333333,1.0,1.0,0.2284896532823935,0.2737432100984203
WLK,1,2026-09-08 00:00:00,3,0.9674202127659576,0.9674202127659576,0.2808291782321848,0.2872317126316375,0.2744266438327321,0.0312603542465501,1.0,0.9378106273965042,0.4091195594743752,0.6583130484103442
YUMC,1,2026-09-02,6,0.9647137150466044,0.9980053191489362,0.5018997688674272,0.5119834207703002,0.4918161169645541,0.0333333333333333,1.0,1.0,0.2319421616565071,0.5129381075199143
ZIM,1,2026-09-09 00:00:00,2,0.9714095744680852,0.9714095744680852,0.2289756375420137,0.3388967378020117,0.1190545372820157,0.0298424650929116,1.0,0.8952739527873481,0.4285578392583693,0.9723794618437572
