Date,equity,daily_return,gross_return,turnover_cost,turnover,holdings,gross_exposure,regime_exposure,held_tickers,benchmark_return,benchmark_equity
2026-06-01,1002.9951780740452,0.002995178074045218,0.003261844740711885,0.0002666666666666667,8,8,0.2305995354159418,1.0,"CHRD,GMED,LBRT,NE,PSLV,SM,WFRD,ZIM",0.0014794272512117512,1001.4794272512117
2026-06-02,1000.4101336146877,-0.002577324912290523,-0.002510658245623856,6.666666666666667e-05,2,10,0.2954994511234658,1.0,"CHRD,GMED,LBRT,NE,OVV,PSLV,SM,WFRD,WLK,ZIM",-0.007980016273017365,993.4876051246549
2026-06-03,1000.5820811612517,0.00017187705400675474,0.0002385437206734214,6.666666666666667e-05,2,12,0.3429867409511922,1.0,"AEO,CHRD,EGO,GMED,LBRT,NE,OVV,PSLV,SM,WFRD,WLK,ZIM",0.00027927655906889726,993.7650629244918
2026-06-04,992.4950791598361,-0.008082297448331348,-0.008048964114998015,3.3333333333333335e-05,1,13,0.3775031118733849,1.0,"AEO,CHRD,EGO,GMED,LBRT,NE,OVV,PR,PSLV,SM,WFRD,WLK,ZIM",-0.011896764503865342,981.9424739987102
2026-06-05,994.3743178855377,0.0018934489098852822,0.0018934489098852822,0.0,0,13,0.18987976770738527,0.5,"AEO,CHRD,EGO,GMED,LBRT,NE,OVV,PR,PSLV,SM,WFRD,WLK,ZIM",0.0003632952094201336,982.29920899544
2026-06-08,989.0909598242489,-0.005313248709523687,-0.005313248709523687,0.0,0,13,0.3744065229811705,1.0,"AEO,CHRD,EGO,GMED,LBRT,NE,OVV,PR,PSLV,SM,WFRD,WLK,ZIM",-0.013770292809066165,968.7726612614587
2026-06-09,995.2616309490763,0.006238729677525176,0.006238729677525176,0.0,0,13,0.3730557789364649,1.0,"AEO,CHRD,EGO,GMED,LBRT,NE,OVV,PR,PSLV,SM,WFRD,WLK,ZIM",-0.006313146780274392,962.656657254198
2026-06-10,994.3809078510399,-0.0008849161573691706,-0.0008515828240358372,3.3333333333333335e-05,1,12,0.1758196524002567,0.5,"AEO,CHRD,EGO,GMED,LBRT,NE,OVV,PR,PSLV,WFRD,WLK,ZIM",0.016397731542435956,978.4420426873911
2026-06-11,996.265354310039,0.0018950951734095437,0.0018950951734095437,0.0,0,12,0.3524948693427161,1.0,"AEO,CHRD,EGO,GMED,LBRT,NE,OVV,PR,PSLV,WFRD,WLK,ZIM",0.015039534285102851,993.1573553343742
2026-06-12,990.3771642748983,-0.005910262772530759,-0.005910262772530759,0.0,0,12,0.355755804546294,1.0,"AEO,CHRD,EGO,GMED,LBRT,NE,OVV,PR,PSLV,WFRD,WLK,ZIM",0.0035912028982518773,996.7239849072712
2026-06-15,988.8362925938573,-0.0015558433055846176,-0.001489176638917951,6.666666666666667e-05,2,14,0.41047758519980415,1.0,"AEO,BBIO,CHRD,EGO,GMED,LBRT,MRNA,NE,OVV,PR,PSLV,WFRD,WLK,ZIM",-0.004320508228296549,992.4176307291388
2026-06-16,986.4304144515585,-0.002433039887712724,-0.002433039887712724,0.0,0,14,0.40986611385402366,1.0,"AEO,BBIO,CHRD,EGO,GMED,LBRT,MRNA,NE,OVV,PR,PSLV,WFRD,WLK,ZIM",-0.0021343994978042513,990.2994150364984
