ticker,days_held,total_pnl,total_contribution_return,mean_position_return,median_position_return,hit_rate,best_day_return,worst_day_return
FSLY,109,36.11842182594713,0.034538406456559936,0.0025887566381834434,0.0017637942514803218,0.5504587155963303,0.041871015454431726,-0.03793842225187183
WDC,124,21.62428574839219,0.020650765430556613,0.0017774062486246255,0.0007354841299422876,0.5241935483870968,0.0559838697788555,-0.06293596107951993
COMP,117,18.704381866708463,0.018051078874072195,0.002017862512858081,-0.0007108214141974267,0.4444444444444444,0.27547376738926665,-0.03700900533356344
ONDS,91,13.760217989266724,0.012391442827693389,0.0009971149658708014,-7.811768198595637e-05,0.4945054945054945,0.05771006450034877,-0.07316954374579088
QUBT,21,12.28384633094507,0.011669745961380566,0.005196576752634059,-0.0002471714276220949,0.47619047619047616,0.09108421344435347,-0.032557525359818595
EOSE,77,12.187230219320304,0.0117530709817572,0.001665925515028404,-0.002475033232719248,0.4805194805194805,0.13729078314677023,-0.05984797249127205
MRVL,10,12.077979573036863,0.011806407626785882,0.010510555299449765,0.006933798302227623,0.8,0.03525569305471876,-0.0038300932254895503
AEO,69,12.070491803770958,0.01144959101971755,0.001568857360353758,0.00021697777910412164,0.5362318840579711,0.05416992462461789,-0.024900251025077202
RIOT,7,10.149638479739103,0.009955672280072428,0.014648461338289722,0.008008178916990794,0.8571428571428571,0.035610684712607865,-0.0007482432197187805
ELAN,44,7.209915592023632,0.006538136499237277,0.002082012536963074,0.0005670779884819899,0.5681818181818182,0.05296263938145351,-0.015894843514064227
RUN,31,7.1195173478052105,0.00708348841499336,0.002276908304900607,0.0014395321876070621,0.5483870967741935,0.039418777682661776,-0.025852629580720432
SBSW,152,6.435079996197511,0.00819945348742179,0.0011582846846069194,-0.0003110382396660505,0.4934210526315789,0.10627236651331406,-0.042715774659156325
VRT,28,6.381678023934214,0.006484037381824402,0.0023520289082111195,0.0013091883076427058,0.5357142857142857,0.05502265925922467,-0.0439006369787035
CHWY,37,6.172220989057835,0.006064394494026038,0.001676500175640934,0.003138800273615683,0.6216216216216216,0.02330738428479795,-0.03259304611203517
IVZ,24,4.961471751551008,0.004368255055884018,0.0007126918912023819,7.472505896588544e-05,0.5,0.020404332382340407,-0.015353580042534287
GLW,17,4.849061601891691,0.004617307505805865,0.0030791182319375035,0.0024245800309985466,0.5294117647058824,0.031215537840661556,-0.02161820458092245
