Date,equity,daily_return,gross_return,turnover_cost,turnover,holdings,gross_exposure,regime_exposure,held_tickers
2026-03-02,1000.2593500010471,0.00025935000104711475,0.0005593500010471148,0.00030000000000000003,9,9,0.2738287135012665,1.0,"ATI,FCX,FLEX,GOOG,NDSN,NVMI,PH,QRVO,WFRD"
2026-03-03,998.4405727386333,-0.0018183056848325805,-0.0017516390181659138,6.666666666666667e-05,2,11,0.16965308173218102,0.5,"ATI,BK,FCX,FLEX,GOOG,NDSN,NVMI,PH,PHYS,QRVO,WFRD"
2026-03-04,987.7747437902032,-0.01068248751067349,-0.010649154177340157,3.3333333333333335e-05,1,12,0.3709766705383788,1.0,"ATI,BK,FCX,FLEX,GOOG,NDSN,NVMI,PH,PHYS,QRVO,TFC,WFRD"
2026-03-05,982.5626811278258,-0.005276570083557731,-0.0052432367502243974,3.3333333333333335e-05,1,13,0.20199360425615914,0.5,"ATI,BK,FCX,FLEX,GOOG,MTZ,NDSN,NVMI,PH,PHYS,QRVO,TFC,WFRD"
2026-03-06,988.5007468135448,0.006043447201661591,0.006110113868328257,6.666666666666667e-05,2,15,0.23511728754692796,0.5,"ATI,BA,BK,FCX,FLEX,GOOG,MTZ,NDSN,NVMI,PH,PHYS,QRVO,TFC,WBS,WFRD"
2026-03-09,988.6682515841502,0.00016945335766854584,0.00026945335766854583,0.0001,3,18,0.2795929631089858,0.5,"AMAT,ATI,BA,BK,FCX,FDX,FLEX,GOOG,JCI,MTZ,NDSN,NVMI,PH,PHYS,QRVO,TFC,WBS,WFRD"
2026-03-10,987.7586017326925,-0.0009200759203102066,-0.0008867425869768733,3.3333333333333335e-05,1,19,0.2948281482393642,0.5,"AMAT,ATI,BA,BK,ESLT,FCX,FDX,FLEX,GOOG,JCI,MTZ,NDSN,NVMI,PH,PHYS,QRVO,TFC,WBS,WFRD"
2026-03-11,984.7985803524512,-0.0029967052426057034,-0.0029967052426057034,0.0,0,19,0.29483379321317077,0.5,"AMAT,ATI,BA,BK,ESLT,FCX,FDX,FLEX,GOOG,JCI,MTZ,NDSN,NVMI,PH,PHYS,QRVO,TFC,WBS,WFRD"
2026-03-12,984.5090962750722,-0.0002939525738098066,-0.0002606192404764732,3.3333333333333335e-05,1,20,0.3123125032631124,0.5,"AMAT,ATI,BA,BK,ESLT,FCX,FDX,FLEX,GOOG,JCI,MTZ,NDSN,NVMI,PH,PHYS,QRVO,TFC,TSM,WBS,WFRD"
2026-03-13,987.03351953819,0.0025641441736485213,0.0025974775069818544,3.3333333333333335e-05,1,21,0.3279491837962475,0.5,"AMAT,ATI,BA,BK,CAT,ESLT,FCX,FDX,FLEX,GOOG,JCI,MTZ,NDSN,NVMI,PH,PHYS,QRVO,TFC,TSM,WBS,WFRD"
2026-03-16,986.5898745356752,-0.00044947308650906026,-0.00038280641984239356,6.666666666666667e-05,2,23,0.361573918380274,0.5,"AMAT,APG,ATI,BA,BK,CAT,ESLT,FCX,FDX,FLEX,GOOG,JCI,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SPG,TFC,TSM,WBS,WFRD"
2026-03-17,977.2875031277989,-0.009428812972821537,-0.009395479639488204,3.3333333333333335e-05,1,24,0.3780360594572419,0.5,"AMAT,APG,ATI,BA,BK,CAT,ESLT,FCX,FDX,FLEX,GOOG,JCI,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SPG,TFC,TSM,WAB,WBS,WFRD"
2026-03-18,984.790391048743,0.007677257610407646,0.007677257610407646,0.0,0,24,0.3757849695057325,0.5,"AMAT,APG,ATI,BA,BK,CAT,ESLT,FCX,FDX,FLEX,GOOG,JCI,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SPG,TFC,TSM,WAB,WBS,WFRD"
2026-03-19,983.2053416769882,-0.001609529688918723,-0.0015761963555853897,3.3333333333333335e-05,1,25,0.39011894188290935,0.5,"AMAT,APG,ATI,BA,BK,CAT,ESLT,FCX,FDX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SPG,TFC,TSM,WAB,WBS,WFRD"
2026-03-20,981.4679969215102,-0.0017670212740246328,-0.0016670212740246327,0.0001,3,28,0.21978310702954856,0.25,"AMAT,APG,ATI,BA,BK,CAT,ESLT,FCX,FDX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SO,SPG,TFC,TSM,VTR,WAB,WBS,WFRD,XEL"
2026-03-23,988.1082115461326,0.006765594645419047,0.006765594645419047,0.0,0,28,0.21973712432187403,0.25,"AMAT,APG,ATI,BA,BK,CAT,ESLT,FCX,FDX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SO,SPG,TFC,TSM,VTR,WAB,WBS,WFRD,XEL"
2026-03-24,985.0581394816212,-0.0030867793920454152,-0.003053446058712082,3.3333333333333335e-05,1,29,0.22754566600147086,0.25,"AMAT,APG,ATI,BA,BK,CAT,ELS,ESLT,FCX,FDX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SO,SPG,TFC,TSM,VTR,WAB,WBS,WFRD,XEL"
2026-03-25,980.5196724541939,-0.004607308792773906,-0.0045739754594405725,3.3333333333333335e-05,1,30,0.23526364171410444,0.25,"ADI,AMAT,APG,ATI,BA,BK,CAT,ELS,ESLT,FCX,FDX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SO,SPG,TFC,TSM,VTR,WAB,WBS,WFRD,XEL"
2026-03-26,981.8673483732712,0.0013744506682910143,0.0013744506682910143,0.0,0,30,0.23513126507351187,0.25,"ADI,AMAT,APG,ATI,BA,BK,CAT,ELS,ESLT,FCX,FDX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SO,SPG,TFC,TSM,VTR,WAB,WBS,WFRD,XEL"
2026-03-27,978.8563387987557,-0.0030666154440353133,-0.0030666154440353133,0.0,0,30,0.23409942690930918,0.25,"ADI,AMAT,APG,ATI,BA,BK,CAT,ELS,ESLT,FCX,FDX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SO,SPG,TFC,TSM,VTR,WAB,WBS,WFRD,XEL"
2026-03-30,986.9648771244837,0.008283685771171174,0.008283685771171174,0.0,0,30,0.23444121779718116,0.25,"ADI,AMAT,APG,ATI,BA,BK,CAT,ELS,ESLT,FCX,FDX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SO,SPG,TFC,TSM,VTR,WAB,WBS,WFRD,XEL"
2026-03-31,984.5960373388964,-0.002400125719254376,-0.0022667923859210426,0.00013333333333333334,4,30,0.23314684365664773,0.25,"ADI,AMAT,APA,APG,ATI,BK,CAT,CMI,ELS,ESLT,FCX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVMI,PH,PHYS,QRVO,SO,SPG,TFC,TSM,VTR,WAB,WBS,WFRD,XEL"
2026-04-01,989.0327078056932,0.004506081985448655,0.004706081985448655,0.0002,6,30,0.23082873479264907,0.25,"ADI,AMAT,APA,APG,ATI,AVGO,BK,CAT,CMI,ELS,ESI,ESLT,FCX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVDA,NVMI,PH,QRVO,SPG,TFC,TSM,VTR,WAB,WBS,WFRD"
2026-04-02,989.4250783228572,0.00039672147752778115,0.0004633881441944478,6.666666666666667e-05,2,30,0.2308034095136892,0.25,"AAPL,ADI,AMAT,APA,APG,ATI,AVGO,BK,CAT,CMI,ELS,ESI,ESLT,FCX,FLEX,GOOG,JCI,LFUS,MTZ,NDSN,NVDA,NVMI,PH,QRVO,SPG,TFC,TSM,WAB,WBS,WFRD"
2026-04-06,998.2025505652173,0.008871285390540622,0.009071285390540623,0.0002,6,30,0.23623649161530155,0.25,"AAPL,ADI,AMAT,APA,APG,ATI,AVGO,BK,CAT,CMI,DAR,ELS,ESI,FCX,FLEX,GOOG,IVZ,JCI,LFUS,MTZ,NDSN,NVDA,PH,QRVO,SPG,TFC,TSM,WAB,WBS,WFRD"
2026-04-07,1000.314550397073,0.0021158028805473763,0.0021158028805473763,0.0,0,30,0.23722428449526184,0.25,"AAPL,ADI,AMAT,APA,APG,ATI,AVGO,BK,CAT,CMI,DAR,ELS,ESI,FCX,FLEX,GOOG,IVZ,JCI,LFUS,MTZ,NDSN,NVDA,PH,QRVO,SPG,TFC,TSM,WAB,WBS,WFRD"
2026-04-08,1006.7371091429371,0.006420539162721073,0.006553872496054406,0.00013333333333333334,4,30,0.4771555467078756,0.5,"AAPL,ADI,AMAT,APA,APG,ATI,AVGO,BK,CAT,CMI,DAR,ELS,ESI,FCX,GOOG,GS,IVZ,JCI,LFUS,MS,MTZ,NDSN,NVDA,PH,QRVO,TFC,TSM,WAB,WBS,WFRD"
2026-04-09,1004.2348670484349,-0.0024854970297384133,-0.0024188303630717466,6.666666666666667e-05,2,30,0.47547404591900005,0.5,"AAPL,ADI,AMAT,APA,APG,ATI,AVGO,BK,CAT,CMI,DAL,DAR,ELS,ESI,FCX,GOOG,GS,IVZ,JCI,LFUS,MS,MTZ,NDSN,NVDA,PH,QRVO,TFC,TSM,WAB,WBS"
2026-04-10,1009.9931158792521,0.0057339662461046645,0.005767299579437998,3.3333333333333335e-05,1,29,0.46157563284702674,0.5,"AAPL,ADI,AMAT,APA,APG,ATI,AVGO,BK,CAT,CMI,DAL,DAR,ELS,ESI,GOOG,GS,IVZ,JCI,LFUS,MS,MTZ,NDSN,NVDA,PH,QRVO,TFC,TSM,WAB,WBS"
2026-04-13,1010.6730688678531,0.0006732253694709509,0.0007398920361376176,6.666666666666667e-05,2,27,0.42898368806112724,0.5,"AAPL,ADI,AMAT,APA,APG,ATI,AVGO,BK,CAT,CMI,DAL,ESI,GOOG,GS,IVZ,JCI,LFUS,MS,MTZ,NDSN,NVDA,PH,QRVO,TFC,TSM,WAB,WBS"
2026-04-14,1008.8732159973745,-0.0017808457808169164,-0.001647512447483583,0.00013333333333333334,4,23,0.36342446712036114,0.5,"AAPL,ADI,AMAT,APA,APG,ATI,AVGO,BK,CAT,CMI,DAL,ESI,GOOG,GS,IVZ,LFUS,MS,MTZ,NDSN,NVDA,TFC,TSM,WAB"
2026-04-15,1011.2232652556114,0.0023293801648937816,0.002462713498227115,0.00013333333333333334,4,19,0.29874019932222917,0.5,"ADI,AMAT,APA,APG,ATI,AVGO,BK,CAT,CMI,ESI,GOOG,GS,IVZ,LFUS,MS,MTZ,NVDA,TSM,WAB"
2026-04-16,1015.9236977500249,0.004648263796843409,0.004814930463510075,0.00016666666666666666,5,16,0.4988593996352492,1.0,"AMAT,APA,ATI,AVGO,BK,CAT,CMI,ESI,GS,IVZ,LFUS,MS,MTZ,NVDA,OVV,TSM"
2026-04-17,1019.7698518679138,0.003785869082891719,0.003819202416225052,3.3333333333333335e-05,1,17,0.5317751629271026,1.0,"AMAT,APA,ATI,AVGO,BK,CAT,CMI,ESI,GS,IVZ,LFUS,MS,MTZ,NVDA,OVV,PR,TSM"
2026-04-20,1025.4486078088976,0.005568664273200369,0.005635330939867035,6.666666666666667e-05,2,17,0.5303252892404504,1.0,"AMAT,APA,ATI,AVGO,CAT,CMI,ESI,EVR,GS,IVZ,LFUS,MS,MTZ,NVDA,OVV,PR,TSM"
2026-04-21,1027.389759734695,0.0018929782643569706,0.0018929782643569706,0.0,0,17,0.5312794349246973,1.0,"AMAT,APA,ATI,AVGO,CAT,CMI,ESI,EVR,GS,IVZ,LFUS,MS,MTZ,NVDA,OVV,PR,TSM"
2026-04-22,1031.085011517219,0.003596737993065393,0.003630071326398726,3.3333333333333335e-05,1,18,0.5611177260321812,1.0,"AES,AMAT,APA,ATI,AVGO,CAT,CMI,ESI,EVR,GS,IVZ,LFUS,MS,MTZ,NVDA,OVV,PR,TSM"
