signal_date,exec_entry_date,exec_exit_date,ticker,side,entry_price,exit_price,position_return,holding_age,score,weight,regime_exposure,position_risk_scale,rolling_vol,rolling_beta,contribution_return,contribution_pnl
2026-05-19,2026-05-20,2026-05-21,AAP,1,49.0099983215332,57.59000015258789,0.17506635635375956,5,0.9816031537450722,0.02601417673471619,1.0,0.7804253020414857,0.49191059757316086,1.2891819042816626,0.004554207134489506,4.761934418475706
2026-07-20,2026-07-21,2026-07-22,WFRD,1,79.0109855531667,87.41449855475237,0.10635879229643219,33,0.9710526315789474,0.03333333333333333,1.0,1.0,0.3872039941129292,1.192838101538793,0.0035452930765477396,3.6987781622745954
2026-05-19,2026-05-20,2026-05-21,GH,1,100.83999633789062,113.44000244140624,0.12495048156582644,10,0.9724047306176085,0.024584015535269767,1.0,0.737520466058093,0.5205272183703752,0.9421752146694031,0.003071784579953716,3.211895349828921
2026-06-16,2026-06-17,2026-06-18,MRNA,1,56.209999084472656,63.959999084472656,0.13787582505299922,7,0.9763157894736842,0.022473192571046192,1.0,0.6741957771313858,0.5730645588604031,1.8485296252968109,0.0030985099673079266,3.175985513951288
2026-07-07,2026-07-08,2026-07-09,BBIO,1,77.11000061035156,84.0,0.089352863897183,37,0.9683377308707124,0.03333333333333333,1.0,1.0,0.3630269959851548,1.102356727114157,0.0029784287965727665,3.0247040716359916
2026-06-25,2026-06-26,2026-06-29,MRNA,1,59.46500015258789,67.94499969482422,0.14260488557095008,13,0.9763157894736842,0.02010454609831872,1.0,0.6031363829495615,0.648125101971368,1.7122244628280276,0.002867006495806632,2.8489740000821264
2026-07-13,2026-07-14,2026-07-15,S,1,18.155000686645508,20.190000534057617,0.11209032059739976,28,0.9776315789473684,0.024089348837455622,1.0,0.7226804651236687,0.5437658681050965,1.2603697156797267,0.002700182834173,2.804897669092519
2026-08-21,2026-08-24,2026-08-25,ETSY,1,80.80999755859375,87.0,0.07659946328940292,9,0.9845637583892617,0.03273767098681884,1.0,0.9821301296045652,0.40319835679050897,1.1250609444183082,0.0025076880269353807,2.7635744549879537
2026-07-08,2026-07-09,2026-07-10,BBIO,1,84.0,90.80999755859376,0.08107139950706865,38,0.9683377308707124,0.03333333333333333,1.0,1.0,0.3620485563125556,1.092974353710457,0.002702379983568955,2.7634445552153
2026-07-27,2026-07-28,2026-07-29,TEVA,1,31.18000030517578,33.66999816894531,0.07985881460546995,28,0.9691689008042895,0.03161694705660349,1.0,0.9485084116981048,0.41026481482488125,0.7993118731954904,0.002524891913384257,2.6011744493650517
2026-08-11,2026-08-12,2026-08-13,ZIM,1,24.649999618530277,26.420000076293945,0.07180529351542453,35,0.9959785522788204,0.03333333333333333,1.0,1.0,0.38127632764085645,0.9008209427683939,0.002393509783847484,2.564396248090873
2026-07-08,2026-07-09,2026-07-10,S,1,17.3799991607666,18.940000534057617,0.08975842627268604,25,0.9776315789473684,0.024833926623705833,1.0,0.745017798711175,0.5325311424536096,1.2436699799953235,0.002229054171915195,2.2794231944109637
2026-08-27,2026-08-28,2026-08-31,DINO,1,97.0,102.9800033569336,0.06164951914364525,16,0.9690444145356663,0.032900193699027726,1.0,0.9870058109708318,0.3979091141515164,-0.13520045233474814,0.0020282811212778465,2.252003029943269
2026-05-29,2026-06-01,2026-06-02,ZIM,1,23.489999771118164,25.0,0.06428268384823221,25,0.9822368421052632,0.03333333333333333,1.0,1.0,0.3309829781189067,0.990710040309845,0.002142756128274407,2.2417269758087004
2026-08-12,2026-08-13,2026-08-14,DINO,1,87.5,92.87999725341795,0.06148568289620515,5,0.9691689008042895,0.03333333333333333,1.0,1.0,0.3859774435161774,-0.11833166160034177,0.0020495227632068382,2.214504610672339
2026-08-20,2026-08-21,2026-08-24,EAT,1,233.30999755859372,248.8800048828125,0.06673527704404747,0,0.989946380697051,0.02970826519220776,1.0,0.8912479557662328,0.44663753696887,0.7399109278764538,0.001982589308100017,2.197843740031292
