ticker,days_held,total_pnl,total_contribution_return,mean_position_return,median_position_return,hit_rate,best_day_return,worst_day_return
NVTS,40,94.26212894217241,0.09495749654902522,0.02563670679104605,-0.00020366575006464105,0.5,0.19483461116151912,-0.09893954643160219
QUBT,52,29.745464062678703,0.03288076247732134,0.006735034117583739,-0.0007256991558129977,0.4807692307692308,0.14199107301677993,-0.08121177499492638
FLNC,54,29.73408034017648,0.019241736559880606,0.004906524576472225,-0.00934393317331672,0.42592592592592593,0.5180300473372637,-0.1314248756702372
SMR,3,29.23266688296851,0.031031194165456206,0.11171282155114877,0.1417963396821047,1.0,0.1489591379933055,0.04438298697803611
UUUU,36,23.006523556845714,0.02483863912026823,0.007261507056127365,0.0035460501846075188,0.5555555555555556,0.10935653946338753,-0.0934239954668934
EOSE,39,22.132304174110452,0.027515715880563712,0.00697351405358289,-0.004920494075802528,0.48717948717948717,0.25038006599075957,-0.10650693094454622
OWL,35,16.152174296307944,0.018287122508669738,0.005754018181247776,0.0038956055134673484,0.5714285714285714,0.11708430804397629,-0.11215775329542588
OKLO,4,15.887072508679736,0.01823658085084715,0.0438106977736131,-0.005430362756306595,0.5,0.20579778465322152,-0.019694268046155927
RDW,17,14.564836979074073,0.01768485699938646,0.011313559611709892,0.0023567007485827407,0.5294117647058824,0.11382877434795846,-0.08198008905718035
RUN,17,13.467174524578892,0.012316506097900505,0.007261404315763531,0.006941566416253098,0.5294117647058824,0.07116236757687044,-0.06069997509603986
LUMN,20,11.491659257481153,0.014156300054006409,0.00844338459072722,0.00895036099201063,0.55,0.09636809390480794,-0.0790765723675636
UEC,18,11.080084898011345,0.01062615096319605,0.006274482071764558,0.007594529787401938,0.5555555555555556,0.0653896937770857,-0.05370286281287984
IAG,15,9.956992780538656,0.012943513657797959,0.01052606469867073,0.01667514094706868,0.5333333333333333,0.08142665920899628,-0.06349569461959748
RIVN,22,8.929952064555627,0.010223874736985949,0.005139894499285874,0.004849361310550582,0.5454545454545454,0.06685755339472776,-0.05175535446823587
FSLY,1,6.963344452671232,0.0069226507536893815,0.08307180904427258,0.08307180904427258,1.0,0.08307180904427258,0.08307180904427258
EQX,39,5.905054561505847,0.008807712713833354,0.0018031809733794009,0.0028408003033046914,0.5384615384615384,0.11757392945412537,-0.1068854097899653
MARA,37,4.397994820380564,0.007176614168046096,0.004011190946705029,-0.008120575606168301,0.40540540540540543,0.1481651249289031,-0.11062619541899998
ACHR,12,3.5127675005491,0.003249487046655995,0.002457612043693963,-0.010147831080937253,0.4166666666666667,0.05842256441041682,-0.03593259472873778
QS,33,-0.7618256466794611,0.00021828524532038675,0.0005600692406124708,-0.0015511927235047906,0.48484848484848486,0.08842924283938625,-0.06944989772167198
RCAT,3,-5.435372303473031,-0.0064451224770678455,-0.026631412274640127,-0.022017680059954414,0.3333333333333333,0.00945009342405334,-0.06732665018801931
SOUN,61,-7.2594195002568735,-0.003922644397678006,0.0014135174405711568,-0.006974286079096892,0.4098360655737705,0.17838736193836735,-0.12024297383303484
EXK,55,-21.540473132254526,-0.020972100446196445,-0.0029735415771798917,-0.010089043915858853,0.4,0.1298870141259747,-0.16708330346383982
HBM,19,-27.40043850699374,-0.02908219437651583,-0.016063744033141748,-0.025062114335886454,0.3157894736842105,0.10164426548634764,-0.08888289041558672
COMP,23,-31.271172339005698,-0.033522180190209847,-0.01199666683927608,-0.009211819051966108,0.43478260869565216,0.06165848984601863,-0.11554835901364846
