signal_date,exec_entry_date,exec_exit_date,ticker,side,entry_price,exit_price,position_return,holding_age,score,weight,regime_exposure,position_risk_scale,contribution_return,contribution_pnl
2026-08-17,2026-08-18,2026-08-19,BNTX,1,91.48999786376952,109.29000091552734,0.19455682006094688,2,0.9671581769436997,0.03333333333333333,1.0,1.0,0.006485227335364896,6.496837515334395
2026-07-20,2026-07-21,2026-07-22,WFRD,1,79.0109855531667,87.41449855475237,0.10635879229643219,33,0.969078947368421,0.03333333333333333,1.0,1.0,0.0035452930765477396,3.4714426410295016
2026-07-07,2026-07-08,2026-07-09,BBIO,1,77.11000061035156,84.0,0.089352863897183,23,0.9881422924901186,0.03333333333333333,1.0,1.0,0.0029784287965727665,2.9235358295065104
2026-07-08,2026-07-09,2026-07-10,BBIO,1,84.0,90.80999755859376,0.08107139950706865,24,0.9881422924901186,0.03333333333333333,1.0,1.0,0.002702379983568955,2.6647685350791117
2026-08-21,2026-08-24,2026-08-25,ETSY,1,80.80999755859375,87.0,0.07659946328940292,12,0.9718498659517426,0.03273767098681884,1.0,0.9821301296045652,0.0025076880269353807,2.511924922452069
2026-08-11,2026-08-12,2026-08-13,ZIM,1,24.649999618530277,26.420000076293945,0.07180529351542453,8,0.9979892761394102,0.03333333333333333,1.0,1.0,0.002393509783847484,2.351734982409678
2026-07-17,2026-07-20,2026-07-21,AGX,1,565.5363513325456,624.7478063534779,0.10469964464957093,6,0.9741379310344828,0.019652902438542792,1.0,0.5895870731562838,0.0020576519016481166,2.0079265349561446
2026-08-20,2026-08-21,2026-08-24,EAT,1,233.30999755859372,248.8800048828125,0.06673527704404747,0,0.9865951742627346,0.02970826519220776,1.0,0.8912479557662328,0.001982589308100017,1.9933380512752625
2026-07-27,2026-07-28,2026-07-29,LBRT,1,16.559999465942383,18.270000457763672,0.10326093278795745,38,0.9881578947368421,0.019730965738447747,1.0,0.5919289721534324,0.002037437926959344,1.9883719672661144
2026-07-20,2026-07-21,2026-07-22,EGO,1,28.600000381469727,31.190000534057617,0.09055944468679034,31,0.969078947368421,0.021640172266250857,1.0,0.6492051679875257,0.001959721983358159,1.9188998795600172
2026-08-13,2026-08-14,2026-08-17,ZIM,1,27.25,28.82999992370605,0.057981648576368894,10,0.9966487935656836,0.03333333333333333,1.0,1.0,0.0019327216192122963,1.9055182919638325
2026-06-11,2026-06-12,2026-06-15,KGC,1,25.200000762939453,27.290000915527344,0.08293651148064907,8,0.9723684210526315,0.023043753372357867,1.0,0.691312601170736,0.0019111685161238038,1.8954660240439696
2026-06-01,2026-06-02,2026-06-03,LBRT,1,29.709999084472656,31.670000076293945,0.06597108893367976,0,0.9782894736842105,0.02665076734268213,1.0,0.799523020280464,0.001758180142514891,1.758180142514891
2026-08-03,2026-08-04,2026-08-05,ZIM,1,26.350000381469727,27.770000457763672,0.05388994518924339,2,0.9993261455525606,0.03272800632055215,1.0,0.9818401896165646,0.0017637104667677667,1.726924447503478
2026-08-07,2026-08-10,2026-08-11,NE,1,41.4900016784668,43.84000015258789,0.056640115185648154,4,0.9697173620457604,0.030879573286314056,1.0,0.9263871985894216,0.001749022587820492,1.7199554361265705
2026-08-06,2026-08-07,2026-08-10,HUM,1,364.0,385.0,0.05769230769230771,0,0.9725201072386058,0.029752504548279442,1.0,0.8925751364483833,0.001716490647016122,1.6828340640151838
2026-08-27,2026-08-28,2026-08-31,HAL,1,35.52000045776367,37.29999923706055,0.0501125776001452,18,0.9818304172274562,0.03333333333333333,1.0,1.0,0.0016704192533381734,1.6782713715430844
2026-08-07,2026-08-10,2026-08-11,FTI,1,70.38587811301717,73.95363917157255,0.05068859200458786,3,0.9912516823687753,0.03333333333333333,1.0,1.0,0.001689619733486262,1.661539802763647
2026-07-31,2026-08-03,2026-08-04,ZIM,1,25.06999969482422,26.350000381469727,0.05105706829784151,1,0.9845637583892617,0.03279377138577686,1.0,0.9838131415733058,0.0016743538253874098,1.6350680032820737
2026-08-17,2026-08-18,2026-08-19,PLNT,1,51.709999084472656,54.16999816894531,0.047572986424812,4,0.9718498659517426,0.03333333333333333,1.0,1.0,0.0015857662141604,1.5886051325488975
2026-08-11,2026-08-12,2026-08-13,HUM,1,371.9800109863281,390.2699890136719,0.04916924965631009,3,0.9725201072386058,0.032746252261020264,1.0,0.9823875678306079,0.001610108652730614,1.5820068376826748
2026-06-11,2026-06-12,2026-06-15,PSLV,1,21.21999931335449,22.690000534057617,0.06927432932469535,8,0.9677631578947368,0.022984353362171684,1.0,0.6895306008651505,0.0015922256641262502,1.5791436618489418
2026-08-14,2026-08-17,2026-08-18,CVE,1,31.3799991607666,32.880001068115234,0.04780120928824094,6,0.9611260053619303,0.03289759163356577,1.0,0.9869277490069732,0.0015725446627551617,1.566180098532844
2026-06-11,2026-06-12,2026-06-15,EGO,1,30.420000076293945,32.5099983215332,0.0687047416172748,6,0.969078947368421,0.022050759891980843,1.0,0.6615227967594253,0.0015149917608431101,1.5025443257137883
2026-08-13,2026-08-14,2026-08-17,HAL,1,33.04999923706055,34.5,0.04387294391563845,8,0.9818304172274562,0.03333333333333333,1.0,1.0,0.001462431463854615,1.4418475363535084
