signal_date,exec_entry_date,exec_exit_date,ticker,side,entry_price,exit_price,position_return,holding_age,score,weight,regime_exposure,position_risk_scale,contribution_return,contribution_pnl
2026-07-22,2026-07-23,2026-07-24,LBRT,1,26.0,19.6200008392334,-0.24538458310640776,35,0.9881578947368421,0.02523845756027222,1.0,0.7571537268081666,-0.006193128386676164,-6.1090253095180245
2026-07-23,2026-07-24,2026-07-27,LBRT,1,19.6200008392334,17.079999923706055,-0.1294597760897236,36,0.9881578947368421,0.02598091113324901,1.0,0.7794273339974703,-0.003363482937917424,-3.308218227232505
2026-08-17,2026-08-18,2026-08-19,ZIM,1,29.125,26.799999237060547,-0.0798283523756036,12,0.9973190348525469,0.031808018198050896,1.0,0.954240545941527,-0.0025391816850836185,-2.5437274557736167
2026-07-15,2026-07-16,2026-07-17,AGX,1,597.4201356307873,528.2368898226813,-0.11580333785545871,4,0.9741379310344828,0.020648020864044138,1.0,0.6194406259213241,-0.002391109736165464,-2.344628933304463
2026-07-09,2026-07-10,2026-07-13,BBIO,1,90.80999755859376,84.83999633789062,-0.06574167361750105,25,0.9881422924901186,0.03333333333333333,1.0,1.0,-0.002191389120583368,-2.1641922208129123
2026-08-26,2026-08-27,2026-08-28,CYTK,1,78.83999633789062,73.87999725341797,-0.06291221860558194,11,0.9730820995962315,0.03333333333333333,1.0,1.0,-0.002097073953519398,-2.0975825112420803
2026-07-09,2026-07-10,2026-07-13,AGX,1,678.6436123416208,614.8958620271503,-0.0939340607576229,0,0.9741379310344828,0.02214089190013709,1.0,0.6642267570041127,-0.002079783884975438,-2.0539720958538292
2026-06-16,2026-06-17,2026-06-18,WFRD,1,100.91999816894533,94.66999816894533,-0.061930242899303045,11,0.969078947368421,0.032131041849092205,1.0,0.9639312554727663,-0.0019898832263219516,-1.9785031441498648
2026-08-05,2026-08-06,2026-08-07,CVS,1,100.9800033569336,95.1999969482422,-0.05723911880118315,0,0.9556451612903226,0.03333333333333333,1.0,1.0,-0.0019079706267061051,-1.8730750253081834
2026-06-04,2026-06-05,2026-06-08,LBRT,1,31.0,28.89999961853028,-0.06774194778934584,3,0.9881578947368421,0.02642796092766676,1.0,0.7928388278300028,-0.0017902815493408735,-1.7915571599788336
2026-08-12,2026-08-13,2026-08-14,CYTK,1,76.80000305175781,72.69999694824219,-0.05338549401817738,1,0.985254691689008,0.03333333333333333,1.0,1.0,-0.0017795164672725794,-1.7567186963242585
2026-07-28,2026-07-29,2026-07-30,BBIO,1,85.48999786376953,80.05999755859375,-0.0635162058821036,38,0.9881422924901186,0.027840421931498525,1.0,0.8352126579449557,-0.0017683179712456927,-1.7298126701231693
2026-06-17,2026-06-18,2026-06-22,EGO,1,34.41999816894531,31.51000022888184,-0.08454381449354509,10,0.969078947368421,0.020641729993477534,1.0,0.619251899804326,-0.0017451305913944103,-1.7287737015095062
2026-06-18,2026-06-22,2026-06-23,PSLV,1,21.21999931335449,19.600000381469727,-0.0763430247080753,13,0.9677631578947368,0.022743493876918913,1.0,0.6823048163075673,-0.0017363071149935798,-1.7142772679390954
2026-06-08,2026-06-09,2026-06-10,KGC,1,26.239999771118164,24.36000061035156,-0.07164631010537892,5,0.9723684210526315,0.02361038181494211,1.0,0.7083114544482633,-0.0016915967372197415,-1.6838401302748045
2026-08-07,2026-08-10,2026-08-11,ETSY,1,84.20999908447266,79.66000366210938,-0.05403153392507576,2,0.9663978494623656,0.03135622313042828,1.0,0.9406866939128485,-0.0016942248338339808,-1.6660683705661004
2026-07-24,2026-07-27,2026-07-28,AGX,1,568.6500244140625,520.8200073242188,-0.08411151857265431,11,0.9741379310344828,0.019202137520080324,1.0,0.5760641256024097,-0.0016151209466548984,-1.5816884433362273
2026-06-30,2026-07-01,2026-07-02,LBRT,1,25.88999938964844,24.3799991607666,-0.058323687310922856,20,0.9881578947368421,0.02677115213092169,1.0,0.8031345639276507,-0.0015613923058370228,-1.5346078824397626
2026-08-25,2026-08-26,2026-08-27,EAT,1,248.75999450683597,236.22000122070312,-0.050410007891314,3,0.9865951742627346,0.029132922009402835,1.0,0.8739876602820851,-0.0014685908283910323,-1.4640279277212778
2026-06-08,2026-06-09,2026-06-10,EGO,1,30.190000534057617,28.14999961853028,-0.06757207285326128,3,0.969078947368421,0.02174592280835779,1.0,0.6523776842507337,-0.0014694170802677488,-1.462679250571679
2026-08-07,2026-08-10,2026-08-11,ZIM,1,26.15999984741211,25.030000686645508,-0.04319568682560171,6,1.0,0.03333333333333333,1.0,1.0,-0.001439856227520057,-1.4159271372531803
2026-06-29,2026-06-30,2026-07-01,GMED,1,83.0,79.47000122070312,-0.0425301057746611,19,0.9677631578947368,0.03333333333333333,1.0,1.0,-0.0014176701924887031,-1.3959305960588935
2026-07-16,2026-07-17,2026-07-20,GMED,1,80.73999786376953,76.87000274658203,-0.04793157319272212,31,0.9677631578947368,0.029729630207950768,1.0,0.891888906238523,-0.0014249879463049547,-1.3871206488866252
2026-06-22,2026-06-23,2026-06-24,PSLV,1,19.600000381469727,18.420000076293945,-0.06020409603110921,14,0.9677631578947368,0.02315224617384044,1.0,0.6945673852152132,-0.0013938600519857707,-1.374359897741741
2026-06-12,2026-06-15,2026-06-16,ZIM,1,25.75,24.690000534057617,-0.04116502780358766,9,0.9881578947368421,0.03333333333333333,1.0,1.0,-0.001372167593452922,-1.3679546661318405
