ticker,side,entry_date,age,entry_score,score,pred,pred_cat,pred_lgbm,target_weight,regime_exposure,position_risk_scale,rolling_vol,rolling_beta
BF-B,1,2026-09-02,2,1.0,0.9993324432576769,0.48773564994355906,0.3152497352017726,0.6602215646853455,0.03333333333333333,1.0,1.0,0.3629414016398121,-0.016595985526599456
CSGP,1,2026-09-02,2,0.978029294274301,0.978029294274301,0.19549120816126825,0.15635395100280358,0.23462846531973292,0.025753686502694568,1.0,0.7726105950808371,0.49891877645325233,0.24282428284035834
CVCO,1,2026-09-03 00:00:00,1,0.972630173564753,0.972630173564753,0.28009678687739625,0.2584491972515948,0.30174437650319774,0.03333333333333333,1.0,1.0,0.3389615036212548,1.2254164395867861
FRPT,1,2026-09-03 00:00:00,1,0.9686248331108145,0.9686248331108145,0.27775844787832643,0.19487339283365981,0.360643502922993,0.023533293009459666,1.0,0.70599879028379,0.5459923417398538,0.4257981007072549
ITW,1,2026-09-03 00:00:00,1,0.9686248331108145,0.9686248331108145,0.26707047970391606,0.20807499217623615,0.3260659672315959,0.03333333333333333,1.0,1.0,0.22690307776395532,0.4989289795002798
MGM,1,2026-09-03 00:00:00,1,0.9779706275033377,0.9779706275033377,0.28441316031742386,0.21160227842755663,0.3572240422072911,0.03333333333333333,1.0,1.0,0.21892397822091086,0.8101409214210329
MLI,1,2026-09-02,2,0.9760319573901464,0.9760319573901464,0.2560871786645304,0.19858308149471868,0.31359127583434215,0.03333333333333333,1.0,1.0,0.3482832014876314,0.573277392068034
NE,1,2026-09-02,2,0.9793608521970706,0.9793608521970706,0.2533654057527839,0.23701778460898593,0.2697130268965818,0.0292251219756,1.0,0.876753659268,0.4396559155445996,0.3563963733092035
PLD,1,2026-09-02,2,0.9673768308921438,0.9773030707610146,0.28045807210040663,0.2465725891361057,0.3143435550647076,0.03333333333333333,1.0,1.0,0.24029824329196506,0.4337018818128683
PSA,1,2026-09-03 00:00:00,1,0.9766355140186915,0.9766355140186915,0.297684705304453,0.20894919016630176,0.38642022044260427,0.03333333333333333,1.0,1.0,0.22310022908218025,0.3686882151726026
SFM,1,2026-09-02,2,0.9893475366178428,0.9946595460614152,0.36695966827987603,0.3392956185959256,0.39462371796382645,0.028082672261595658,1.0,0.8424801678478697,0.45754184784816965,0.0934915704424559
TDY,1,2026-09-02,2,0.9680426098535286,0.9826435246995995,0.3060738206392023,0.21201797202547357,0.4001296692529311,0.03333333333333333,1.0,1.0,0.2503955587501972,1.1035714615452576
TPL,1,2026-09-02,2,0.9747003994673769,0.9747003994673769,0.1957084855142081,0.1822994559542045,0.20911751507421175,0.029416577723274,1.0,0.88249733169822,0.43679444563393455,0.31576868762762134
YUMC,1,2026-09-02,2,0.9647137150466044,0.9719626168224299,0.269808967130162,0.2108553744599096,0.32876255980041447,0.03333333333333333,1.0,1.0,0.2542055067453421,0.30704207838601244
