Date,expected_execution_open,ticker,instruction,action,reason,side,age,pred,pred_cat,pred_lgbm,score,previous_target_weight,target_weight,target_percent,target_value_gbp,weight_change,costed_turnover_leg
2026-09-03,2026-09-04 14:30:00+01:00,BN,SELL,SELL_NEXT_OPEN,missing_from_latest_universe,1,1,,,,0.9760319573901464,0.0333333333333333,0.0,0.0,0.0,-0.0333333333333333,True
2026-09-03,2026-09-04 14:30:00+01:00,MGM,BUY,BUY_NEXT_OPEN,new_signal,1,0,0.28441316031742386,0.21160227842755663,0.3572240422072911,0.9779706275033377,0.0,0.03333333333333333,3.3333333333333335,33.333333333333336,0.03333333333333333,True
2026-09-03,2026-09-04 14:30:00+01:00,PSA,BUY,BUY_NEXT_OPEN,new_signal,1,0,0.297684705304453,0.20894919016630176,0.38642022044260427,0.9766355140186915,0.0,0.03333333333333333,3.3333333333333335,33.333333333333336,0.03333333333333333,True
2026-09-03,2026-09-04 14:30:00+01:00,CVCO,BUY,BUY_NEXT_OPEN,new_signal,1,0,0.28009678687739625,0.2584491972515948,0.30174437650319774,0.972630173564753,0.0,0.03333333333333333,3.3333333333333335,33.333333333333336,0.03333333333333333,True
2026-09-03,2026-09-04 14:30:00+01:00,FRPT,BUY,BUY_NEXT_OPEN,new_signal,1,0,0.27775844787832643,0.19487339283365981,0.360643502922993,0.9686248331108145,0.0,0.023533293009459666,2.3533293009459664,23.533293009459666,0.023533293009459666,True
2026-09-03,2026-09-04 14:30:00+01:00,ITW,BUY,BUY_NEXT_OPEN,new_signal,1,0,0.26707047970391606,0.20807499217623615,0.3260659672315959,0.9686248331108145,0.0,0.03333333333333333,3.3333333333333335,33.333333333333336,0.03333333333333333,True
2026-09-03,2026-09-04 14:30:00+01:00,BF-B,HOLD,HOLD,still_valid,1,1,0.48773564994355906,0.3152497352017726,0.6602215646853455,0.9993324432576769,0.0333333333333333,0.03333333333333333,3.3333333333333335,33.333333333333336,3.469446951953614e-17,False
2026-09-03,2026-09-04 14:30:00+01:00,SFM,HOLD,REBALANCE_NEXT_OPEN,target_weight_changed,1,1,0.36695966827987603,0.3392956185959256,0.39462371796382645,0.9946595460614152,0.0284555484132363,0.028082672261595658,2.8082672261595656,28.082672261595658,-0.00037287615164064217,False
2026-09-03,2026-09-04 14:30:00+01:00,TDY,HOLD,HOLD,still_valid,1,1,0.3060738206392023,0.21201797202547357,0.4001296692529311,0.9826435246995995,0.0333333333333333,0.03333333333333333,3.3333333333333335,33.333333333333336,3.469446951953614e-17,False
2026-09-03,2026-09-04 14:30:00+01:00,NE,HOLD,REBALANCE_NEXT_OPEN,target_weight_changed,1,1,0.2533654057527839,0.23701778460898593,0.2697130268965818,0.9793608521970706,0.0297246694451021,0.0292251219756,2.92251219756,29.2251219756,-0.0004995474695020999,False
2026-09-03,2026-09-04 14:30:00+01:00,CSGP,HOLD,REBALANCE_NEXT_OPEN,target_weight_changed,1,1,0.19549120816126825,0.15635395100280358,0.23462846531973292,0.978029294274301,0.0260481994954554,0.025753686502694568,2.5753686502694566,25.753686502694567,-0.0002945129927608321,False
2026-09-03,2026-09-04 14:30:00+01:00,PLD,HOLD,HOLD,still_valid,1,1,0.28045807210040663,0.2465725891361057,0.3143435550647076,0.9773030707610146,0.0333333333333333,0.03333333333333333,3.3333333333333335,33.333333333333336,3.469446951953614e-17,False
2026-09-03,2026-09-04 14:30:00+01:00,MLI,HOLD,HOLD,still_valid,1,1,0.2560871786645304,0.19858308149471868,0.31359127583434215,0.9760319573901464,0.0333333333333333,0.03333333333333333,3.3333333333333335,33.333333333333336,3.469446951953614e-17,False
2026-09-03,2026-09-04 14:30:00+01:00,TPL,HOLD,REBALANCE_NEXT_OPEN,target_weight_changed,1,1,0.1957084855142081,0.1822994559542045,0.20911751507421175,0.9747003994673769,0.0270540646137761,0.029416577723274,2.9416577723274,29.416577723274,0.0023625131094979004,False
2026-09-03,2026-09-04 14:30:00+01:00,YUMC,HOLD,HOLD,still_valid,1,1,0.269808967130162,0.2108553744599096,0.32876255980041447,0.9719626168224299,0.0333333333333333,0.03333333333333333,3.3333333333333335,33.333333333333336,3.469446951953614e-17,False
