signal_date,exec_entry_date,exec_exit_date,ticker,side,entry_price,exit_price,position_return,holding_age,score,weight,regime_exposure,position_risk_scale,rolling_vol,rolling_beta,contribution_return,contribution_pnl
2026-09-08,2026-09-09,2026-09-10,BF-B,1,26.309999465942383,26.209999084472656,-0.003800850760152019,3,0.9993351063829788,0.0333333333333333,1.0,1.0,0.3617330245654105,0.006163598912814,-0.0001266950253384005,
2026-09-08,2026-09-09,2026-09-10,BN,1,39.18000030517578,38.209999084472656,-0.024757560315153526,1,0.9667553191489362,0.0333333333333333,1.0,1.0,0.2201678808199302,1.4443684045756164,-0.0008252520105051167,
2026-09-08,2026-09-09,2026-09-10,BSY,1,32.72999954223633,32.0099983215332,-0.021998204423254064,0,0.9860372340425532,0.0302156319107754,1.0,0.9064689573232634,0.423418543287295,0.4867404375740534,-0.000664689647551036,
2026-09-08,2026-09-09,2026-09-10,CCK,1,113.04000091552734,111.83000183105467,-0.010704167327253322,0,0.9654255319148936,0.0333333333333333,1.0,1.0,0.2493965529910833,0.4573956662023971,-0.0003568055775751104,
2026-09-08,2026-09-09,2026-09-10,CSGP,1,30.020000457763672,29.63999938964844,-0.01265826323520114,3,0.9627659574468086,0.0255134001507536,1.0,0.7654020045226105,0.501456441421733,0.2497976112905199,-0.0003229553351332595,
2026-09-08,2026-09-09,2026-09-10,CVCO,1,545.25,525.780029296875,-0.03570833691540576,2,0.972630173564753,0.0333333333333333,1.0,1.0,0.3388313444255351,1.195605055933475,-0.0011902778971801906,
2026-09-08,2026-09-09,2026-09-10,EVRG,1,82.36000061035156,81.57499694824219,-0.009531370280377427,1,0.9700797872340424,0.0333333333333333,1.0,1.0,0.16496364297051,-0.0426361865068651,-0.0003177123426792472,
2026-09-08,2026-09-09,2026-09-10,FRPT,1,66.8499984741211,66.5,-0.005235579388331413,2,0.9686248331108144,0.0234367493827987,1.0,0.703102481483961,0.545888793671858,0.4212595258980041,-0.00012270496199806984,
2026-09-08,2026-09-09,2026-09-10,ITW,1,267.1400146484375,262.57000732421875,-0.017107161314762198,2,0.9686248331108144,0.0333333333333333,1.0,1.0,0.2276653244699202,0.4984100783281881,-0.0005702387104920727,
2026-09-08,2026-09-09,2026-09-10,KVUE,1,18.229999542236328,17.75,-0.026330200454708574,1,0.9680851063829788,0.0333333333333333,1.0,1.0,0.2178181364358528,0.1237562702965741,-0.0008776733484902848,
2026-09-08,2026-09-09,2026-09-10,LNT,1,68.5999984741211,67.88999938964844,-0.010349841111738534,1,0.9714095744680852,0.0333333333333333,1.0,1.0,0.1812279665018849,-0.0948158269810516,-0.0003449947037246174,
2026-09-08,2026-09-09,2026-09-10,MGM,1,40.70000076293945,40.75,0.0012284824600317101,2,0.9779706275033376,0.0333333333333333,1.0,1.0,0.2186895552930775,0.8226059833920233,4.09494153343903e-05,
2026-09-08,2026-09-09,2026-09-10,MLI,1,63.09000015258789,63.150001525878906,0.0009510441138991244,3,0.9760319573901464,0.0333333333333333,1.0,1.0,0.3500325855214058,0.5668559364820914,3.170147046330411e-05,
2026-09-08,2026-09-09,2026-09-10,MMYT,1,52.650001525878906,48.130001068115234,-0.08584995872302048,0,0.992686170212766,0.0228526979836277,1.0,0.6855809395088316,0.5598401929317715,1.216504040591331,-0.0019619031786040912,
2026-09-08,2026-09-09,2026-09-10,NE,1,46.58000183105469,46.2400016784668,-0.007299273061883271,3,0.9793608521970706,0.0290154425387047,1.0,0.8704632761611417,0.4409327492110267,0.3373912973840869,-0.00021179163810138918,
2026-09-08,2026-09-09,2026-09-10,PLD,1,137.14999389648438,134.9199981689453,-0.016259539385923505,3,0.9847074468085106,0.0333333333333333,1.0,1.0,0.2401823067074649,0.4368444675462348,-0.0005419846461974496,
2026-09-08,2026-09-09,2026-09-10,PSA,1,301.1000061035156,294.2699890136719,-0.022683550154082854,2,0.9827127659574468,0.0333333333333333,1.0,1.0,0.2233219567628469,0.3759031344449927,-0.0007561183384694277,
2026-09-08,2026-09-09,2026-09-10,SFM,1,75.6500015258789,73.5,-0.028420376503805023,3,0.9900265957446808,0.0280999939046212,1.0,0.842999817138636,0.4552975666682129,0.081985460800911,-0.0007986124065239607,
2026-09-08,2026-09-09,2026-09-10,TDY,1,603.97998046875,593.4000244140625,-0.017517064135927796,3,0.9680851063829788,0.0333333333333333,1.0,1.0,0.2448572268103917,1.0959701928350745,-0.0005839021378642593,
2026-09-08,2026-09-09,2026-09-10,TPL,1,383.7999877929688,376.2300109863281,-0.019723754683192207,3,0.9747003994673769,0.0297856142452371,1.0,0.8935684273571144,0.4295314759275593,0.3173661865819771,-0.0005874841484612517,
2026-09-08,2026-09-09,2026-09-10,UTHR,1,502.75,502.4400024414063,-0.0006166037963076798,1,0.9587765957446808,0.0333333333333333,1.0,1.0,0.2236380490269705,0.2745878940554753,-2.055345987692264e-05,
2026-09-08,2026-09-09,2026-09-10,WLK,1,72.69999694824219,71.87000274658203,-0.011416702015146662,0,0.9674202127659576,0.0317304019132265,1.0,0.9519120573967954,0.4032050675926878,0.6414776269888598,-0.0003622565434641465,
2026-09-08,2026-09-09,2026-09-10,YUMC,1,43.13999938964844,42.7400016784668,-0.00927208430321913,3,0.97196261682243,0.0333333333333333,1.0,1.0,0.2588723274988164,0.2848501843931672,-0.0003090694767739707,
