Date,equity,daily_return,gross_return,turnover_cost,turnover,holdings,gross_exposure,regime_exposure,held_tickers,benchmark_return,benchmark_equity
2026-06-01,1001.4116150132113,0.0014116150132113317,0.0015782816798779985,0.00016666666666666666,5,5,0.145406613561029,1.0,"LBRT,NE,PSLV,WLK,ZIM",0.0014794272512117512,1001.4794272512117
2026-06-02,998.7388600705505,-0.0026689873600333693,-0.0026689873600333693,0.0,0,5,0.146508987175798,1.0,"LBRT,NE,PSLV,WLK,ZIM",-0.007980016273017365,993.4876051246549
2026-06-03,998.8718955196475,0.00013320343727061537,0.00013320343727061537,0.0,0,5,0.1473379967753663,1.0,"LBRT,NE,PSLV,WLK,ZIM",0.00027927655906889726,993.7650629244918
2026-06-04,996.247363251869,-0.002627496358192281,-0.002627496358192281,0.0,0,5,0.1481280424755248,1.0,"LBRT,NE,PSLV,WLK,ZIM",-0.011896764503865342,981.9424739987102
2026-06-05,996.5985126833218,0.0003524721313254998,0.0003524721313254998,0.0,0,5,0.07373928063101803,0.5,"LBRT,NE,PSLV,WLK,ZIM",0.0003632952094201336,982.29920899544
2026-06-08,993.7382908991823,-0.0028699839983088184,-0.0028699839983088184,0.0,0,5,0.14476054000777847,1.0,"LBRT,NE,PSLV,WLK,ZIM",-0.013770292809066165,968.7726612614587
2026-06-09,996.1645986671774,0.002441596333980188,0.002441596333980188,0.0,0,5,0.1454497609844372,1.0,"LBRT,NE,PSLV,WLK,ZIM",-0.006313146780274392,962.656657254198
2026-06-10,996.1331173468587,-3.160252869932906e-05,-3.160252869932906e-05,0.0,0,5,0.07279489227303004,0.5,"LBRT,NE,PSLV,WLK,ZIM",0.016397731542435956,978.4420426873911
2026-06-11,997.9687187297582,0.001842726991939091,0.001842726991939091,0.0,0,5,0.1462983959405391,1.0,"LBRT,NE,PSLV,WLK,ZIM",0.015039534285102851,993.1573553343742
2026-06-12,994.7397893784046,-0.003235501565082538,-0.003235501565082538,0.0,0,5,0.14786640480187735,1.0,"LBRT,NE,PSLV,WLK,ZIM",0.0035912028982518773,996.7239849072712
