Date,model_as_of_date,retrain_fold,universe_rows,pred_cat_positive,pred_lgbm_positive,both_models_positive,positive_agreement,risk_eligible,agreement_and_risk_eligible,quantile_long_signals,final_candidates,entries,replacements,exits_missing,exits_opposite,exits_weak,exits_age,holdings,gross_exposure,regime_exposure,median_pred_raw,max_pred_raw
2026-06-01,2026-05-31,0,760,657,644,591,15,589,21,16,5,5,0,0,0,0,0,5,0.145406613561029,1.0,0.1813610777415755,0.7419434760266498
2026-06-02,2026-05-31,0,760,731,710,689,9,587,9,16,3,0,0,0,0,0,0,5,0.146508987175798,1.0,0.2678372638398744,0.8742807239351323
2026-06-03,2026-05-31,0,760,755,726,722,13,589,7,16,4,0,0,0,0,0,0,5,0.1473379967753663,1.0,0.32068229792356684,0.9250525184369283
2026-06-04,2026-05-31,0,760,748,704,694,10,589,4,16,4,0,0,0,0,0,0,5,0.1481280424755248,1.0,0.2884287742111693,0.9678107820372046
2026-06-05,2026-05-31,0,760,390,346,312,34,588,21,16,0,0,0,0,0,0,0,5,0.07373928063101803,0.5,-0.01907577769031099,1.0192571702431799
2026-06-08,2026-05-31,0,760,433,386,341,28,588,25,16,1,0,0,0,0,0,0,5,0.14476054000777847,1.0,0.012624632746626382,0.9197652422283316
2026-06-09,2026-05-31,0,760,456,359,330,32,587,25,16,1,0,0,0,0,0,0,5,0.1454497609844372,1.0,0.01136680211083116,0.9717049446187509
2026-06-10,2026-05-31,0,760,297,296,236,30,586,24,16,0,0,0,0,0,0,0,5,0.07279489227303004,0.5,-0.07225705747911618,0.933201482232515
2026-06-11,2026-05-31,0,759,418,373,327,33,586,26,16,0,0,0,0,0,0,0,5,0.1462983959405391,1.0,0.01660013818150552,0.9822723659810129
2026-06-12,2026-05-31,0,759,379,390,321,36,585,30,16,0,0,0,0,0,0,0,5,0.14786640480187735,1.0,-0.00048597894549929493,0.966394620141922
2026-06-15,2026-05-31,0,759,691,630,611,22,584,26,16,1,0,0,0,0,0,0,5,0.1477255472333325,1.0,0.21239810063878248,0.9026295443902161
2026-06-16,2026-05-31,0,759,561,599,510,30,586,16,16,1,0,0,0,0,0,0,5,0.14782458320485017,1.0,0.14802026877048466,0.9282873230462543
2026-06-17,2026-05-31,0,759,393,361,311,33,587,23,16,0,0,0,0,0,0,0,5,0.14779930163714144,1.0,0.00024580255501958047,0.8905986597996596
2026-06-18,2026-05-31,0,759,626,642,583,30,589,18,16,1,0,0,0,0,0,0,5,0.14812014304807575,1.0,0.19706282186632168,0.9819114791395206
2026-06-22,2026-05-31,0,759,553,402,379,34,589,27,16,1,0,0,0,0,0,0,5,0.1486088464692794,1.0,0.07141351035263208,0.8740685024880942
