Date,ticker,action,pred,score,rolling_vol,rolling_beta,target_weight,opposite_signal,weak_long,weak_short,too_old
2026-06-01,LBRT,BUY,0.7343957475782388,0.9953947368421052,0.4744255321531502,1.1284841890809987,0.02665076734268213,,,,
2026-06-01,NE,BUY,0.7419434760266498,0.9763157894736842,0.3714613014638485,0.7831862582835843,0.03333333333333333,,,,
2026-06-01,ZIM,BUY,0.5879021256688106,0.975,0.3353074922222452,0.9764673429686253,0.03333333333333333,,,,
2026-06-01,PSLV,BUY,0.5598680015536283,0.9657894736842105,0.5666846971755783,1.463427040445086,0.02231188620737412,,,,
2026-06-01,WLK,BUY,0.556939695436835,0.9592105263157895,0.4246122820044516,0.9427367077913189,0.029777293344306066,,,,
2026-07-08,UTHR,BUY,0.5159036917533488,0.9708222811671088,0.22664042499455256,0.06886340411293013,0.03333333333333333,,,,
2026-07-09,PEN,BUY,0.5389558401582077,0.9622015915119364,0.08552444348407384,0.1389412468337066,0.03333333333333333,,,,
2026-07-10,PEP,BUY,0.8044313699346932,0.9973544973544974,0.2336021386428811,-0.1837765688063813,0.03333333333333333,,,,
2026-07-10,ENB,BUY,0.7163980888080255,0.9867724867724867,0.20773431239195878,-0.12862020199910357,0.03333333333333333,,,,
2026-07-10,XEL,BUY,0.6483304732064195,0.9794973544973544,0.24317908185535675,-0.012219074641501492,0.03333333333333333,,,,
2026-07-10,TRP,BUY,0.6644416353207994,0.9794973544973544,0.21440639936137645,-0.01140661400439955,0.03333333333333333,,,,
2026-07-10,NI,BUY,0.6460654404854258,0.9695767195767195,0.19516200505511322,0.13731610829756205,0.03333333333333333,,,,
2026-07-10,QSR,BUY,0.6527882359120262,0.9682539682539683,0.25598118784251345,0.13404223973464263,0.03333333333333333,,,,
2026-07-10,ET,BUY,0.6089559092560383,0.966931216931217,0.18596503224972627,-0.02673718535725279,0.03333333333333333,,,,
2026-07-13,WLK,EXIT,,,,,,False,True,False,False
2026-07-15,YUM,BUY,0.6586537860750642,0.9854111405835544,0.23176588103524606,0.08452853101348934,0.03333333333333333,,,,
2026-07-15,WMB,BUY,0.657670072590643,0.9748010610079576,0.25334124007203546,-0.014194562505686127,0.03333333333333333,,,,
2026-07-15,AEP,BUY,0.6206522097796252,0.9741379310344828,0.21661765748373638,-0.04769515718690684,0.03333333333333333,,,,
2026-07-15,SHEL,BUY,0.6195426989614132,0.9734748010610079,0.2629464971058808,0.05757758568052775,0.03333333333333333,,,,
2026-07-15,SO,BUY,0.6190001207275228,0.9714854111405835,0.20159752552408403,-0.23281249513792193,0.03333333333333333,,,,
