Date,model_as_of_date,retrain_fold,universe_rows,pred_cat_positive,pred_lgbm_positive,both_models_positive,positive_agreement,risk_eligible,agreement_and_risk_eligible,quantile_long_signals,final_candidates,entries,replacements,exits_missing,exits_opposite,exits_weak,exits_age,holdings,gross_exposure,regime_exposure,median_pred_raw,max_pred_raw
2025-09-02,2025-08-31,0,760,280,46,40,23,601,18,16,1,1,0,0,0,0,0,1,0.03333333333333333,1.0,-0.16433547249909314,0.49317187505168064
2025-09-03,2025-08-31,0,760,110,28,21,16,601,17,16,4,3,0,0,0,0,0,4,0.13333333333333333,1.0,-0.2542278691345701,0.42193057162392866
2025-09-04,2025-08-31,0,760,112,33,18,15,601,17,16,4,2,0,0,0,0,0,6,0.2,1.0,-0.22124498973300938,0.4393837399995949
2025-09-05,2025-08-31,0,760,154,33,24,13,601,19,16,7,3,0,0,0,1,0,8,0.26666666666666666,1.0,-0.23557588443227578,0.34392091202924646
2025-09-08,2025-08-31,0,761,213,108,71,23,600,24,16,6,3,0,0,0,1,0,10,0.3333333333333333,1.0,-0.1112574560000332,0.3770727119992077
2025-09-09,2025-08-31,0,761,56,33,17,17,600,19,16,4,0,0,0,0,2,0,8,0.26666666666666666,1.0,-0.2635217479859846,0.3130650525289651
2025-09-10,2025-08-31,0,761,199,261,123,16,598,17,16,5,1,0,0,0,0,0,9,0.3,1.0,-0.07214478847642843,0.5356833289763429
2025-09-11,2025-08-31,0,761,196,340,142,20,598,21,16,10,4,0,0,0,0,0,13,0.43333333333333335,1.0,-0.050194548145924694,0.47507051399909217
2025-09-12,2025-08-31,0,761,153,309,115,15,599,18,16,6,0,0,0,0,0,0,13,0.43333333333333335,1.0,-0.06182585355917426,0.49632892270467305
2025-09-15,2025-08-31,0,761,311,371,212,17,600,19,16,9,1,0,0,0,1,0,13,0.43333333333333335,1.0,-0.016737916430068375,0.47293718347698455
2025-09-16,2025-08-31,0,761,383,490,301,21,599,16,16,8,1,0,0,0,0,0,14,0.46356224363376297,1.0,0.03298789526375541,0.5455641254031878
2025-09-17,2025-08-31,0,761,318,257,180,18,598,21,16,10,2,0,0,0,0,0,16,0.5229232817664257,1.0,-0.051198393609601225,0.5843602959245972
2025-09-18,2025-08-31,0,761,161,41,24,15,596,15,16,6,0,0,0,0,3,0,13,0.42263596315722823,1.0,-0.218091238332812,0.4105773375739586
2025-09-19,2025-08-31,0,761,26,24,9,9,596,14,16,7,0,0,0,0,4,0,9,0.296325452767756,1.0,-0.3203280370815658,0.1712358717394117
2025-09-22,2025-08-31,0,761,29,21,8,8,597,12,16,7,5,0,0,0,5,0,9,0.3,1.0,-0.41431554899132006,0.18756458771948087
2025-09-23,2025-08-31,0,761,56,22,8,8,595,8,16,4,2,0,0,0,2,0,9,0.2951236180956944,1.0,-0.3290447390954095,0.1769067973348526
2025-09-24,2025-08-31,0,761,120,17,7,5,596,7,16,3,1,0,0,0,1,0,9,0.2947230075070777,1.0,-0.27229360486420245,0.19828601613779245
2025-09-25,2025-08-31,0,761,92,53,19,16,596,16,16,6,2,0,0,0,1,0,10,0.32652926060671145,1.0,-0.21297706073048633,0.4840013798333606
2025-09-26,2025-08-31,0,761,310,21,19,4,596,8,16,3,2,0,0,0,2,0,10,0.31828574190682657,1.0,-0.20601201011599662,0.2580392325174604
2025-09-29,2025-08-31,0,761,455,211,163,13,597,8,16,4,3,0,0,0,0,0,13,0.4124157159698215,1.0,-0.03656616473640476,0.4003447675204478
2025-09-30,2025-08-31,0,761,239,41,36,12,596,13,16,11,7,0,0,0,2,0,18,0.584649858056875,1.0,-0.19580079504476056,0.3807680978395367
2025-10-01,2025-08-31,0,761,352,373,213,13,596,21,16,10,2,0,0,0,0,0,20,0.6516105168323711,1.0,-0.005878042864261253,0.48696254525067595
2025-10-02,2025-08-31,0,761,301,306,177,21,597,29,16,15,3,0,0,0,0,0,23,0.7501666311250059,1.0,-0.03596782337815434,0.6108967144500717
2025-10-03,2025-08-31,0,761,117,343,71,11,597,17,16,10,0,0,0,0,0,0,23,0.7502161706434485,1.0,-0.0939896210534869,0.5146727179196554
2025-10-06,2025-08-31,0,761,117,130,82,27,597,33,16,14,6,0,0,0,3,0,26,0.8554971964094027,1.0,-0.2207489511550345,0.41966076459802515
2025-10-07,2025-08-31,0,761,142,131,70,17,596,26,16,10,1,0,0,0,2,0,25,0.8228149945796155,1.0,-0.15724273216363388,0.4583573226521927
2025-10-08,2025-08-31,0,761,152,144,77,21,599,26,16,13,2,0,0,0,0,0,27,0.8897822007373866,1.0,-0.16232663780899684,0.500526273111645
2025-10-09,2025-08-31,0,761,90,177,69,26,599,33,16,14,1,0,0,0,1,0,27,0.894523261453449,1.0,-0.22990751275490498,0.567825801942239
