Date,ticker,action,pred,score,opposite_signal,weak_long,weak_short,too_old
2026-06-01,CRML,BUY,1.0,1.0,,,,
2026-06-01,ONDS,BUY,0.9868995633187774,0.9868995633187774,,,,
2026-06-01,ACHR,BUY,0.982532751091703,0.982532751091703,,,,
2026-06-01,QS,BUY,0.9790393013100436,0.9790393013100436,,,,
2026-06-01,RUN,BUY,0.977292576419214,0.977292576419214,,,,
2026-06-02,FLNC,BUY,0.977292576419214,0.977292576419214,,,,
2026-06-03,COMP,BUY,0.9851528384279475,0.9851528384279475,,,,
2026-06-04,QUBT,BUY,0.976419213973799,0.976419213973799,,,,
2026-06-04,EOSE,BUY,0.9694323144104804,0.9694323144104804,,,,
2026-06-08,UUUU,BUY,0.9799126637554585,0.9799126637554585,,,,
2026-06-09,OSCR,BUY,0.9868995633187772,0.9868995633187772,,,,
2026-06-15,RUN,EXIT,,,False,True,False,False
2026-06-15,COMP,EXIT,,,False,True,False,False
2026-06-15,LUMN,BUY,0.982532751091703,0.982532751091703,,,,
2026-06-22,RCAT,BUY,0.9799126637554585,0.9799126637554585,,,,
2026-06-23,LUNR,BUY,0.9720524017467249,0.9720524017467249,,,,
2026-06-25,ACHR,EXIT_MISSING,,,,,,
2026-07-02,NVTS,BUY,0.9754385964912282,0.9754385964912282,,,,
2026-07-06,ACHR,BUY,0.9789473684210526,0.9789473684210526,,,,
2026-07-07,EOSE,EXIT_MISSING,,,,,,
2026-07-07,ACHR,EXIT_MISSING,,,,,,
2026-07-07,SMR,BUY,0.9743362831858406,0.9743362831858406,,,,
2026-07-10,RDW,BUY,0.973568281938326,0.973568281938326,,,,
2026-07-14,SNOW,BUY,0.9734513274336283,0.9734513274336283,,,,
2026-07-20,LUMN,EXIT,,,False,True,False,False
2026-07-20,SNOW,EXIT,,,False,True,False,False
2026-07-21,ACHR,BUY,0.9776785714285714,0.9776785714285714,,,,
2026-07-22,SMR,EXIT,,,False,True,False,False
2026-07-24,QS,EXIT_MISSING,,,,,,
2026-07-24,ACHR,EXIT_MISSING,,,,,,
2026-07-27,QS,BUY,0.9793721973094172,0.9793721973094172,,,,
2026-07-29,CRML,EXIT,,,False,False,False,True
2026-07-29,ONDS,EXIT,,,False,False,False,True
2026-07-29,QS,EXIT_MISSING,,,,,,
2026-07-29,CRML,BUY,0.9855855855855855,0.9855855855855855,,,,
2026-07-29,OKLO,BUY,0.9738738738738739,0.9738738738738739,,,,
2026-07-30,FLNC,EXIT,,,False,False,False,True
2026-07-30,FLNC,BUY,0.9919282511210762,0.9919282511210762,,,,
2026-07-30,QS,BUY,0.9838565022421525,0.9838565022421525,,,,
2026-08-03,QUBT,EXIT,,,False,False,False,True
2026-08-03,OKLO,EXIT,,,False,True,False,False
2026-08-03,JOBY,BUY,0.9783783783783784,0.9783783783783784,,,,
2026-08-03,ONDS,BUY,0.9765765765765766,0.9765765765765766,,,,
2026-08-04,UUUU,EXIT,,,False,True,False,False
2026-08-05,QUBT,BUY,0.9723214285714286,0.9723214285714286,,,,
2026-08-06,OSCR,EXIT,,,False,False,False,True
2026-08-07,LUNR,EXIT,,,False,True,False,False
2026-08-07,ACHR,BUY,0.9721973094170404,0.9721973094170404,,,,
2026-08-10,MARA,BUY,0.9856502242152467,0.9856502242152467,,,,
2026-08-12,RDW,EXIT,,,False,True,False,False
2026-08-12,MNST,BUY,0.9928571428571429,0.9928571428571429,,,,
2026-08-17,NVTS,EXIT,,,False,True,False,False
2026-08-18,RCAT,EXIT,,,False,False,False,True
2026-08-18,RDW,BUY,0.9892857142857143,0.9892857142857143,,,,
2026-08-19,RCAT,BUY,0.9775784753363228,0.9775784753363228,,,,
2026-08-20,MARA,EXIT,,,False,True,False,False
2026-08-24,LUMN,BUY,0.9848214285714285,0.9848214285714285,,,,
