Date,equity,daily_return,gross_return,turnover_cost,turnover,holdings,held_tickers
2025-11-10,977.2627142899328,-0.02273728571006724,-0.02243728571006724,0.00030000000000000003,6,6,"EXK,IAG,LUMN,RDW,ROIV,SATS"
2025-11-11,948.3325524966605,-0.029603259563926624,-0.029453259563926623,0.00015000000000000001,3,9,"EXK,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV,SATS"
2025-11-12,867.0679795590656,-0.08569206310977184,-0.08564206310977185,5e-05,1,8,"EXK,FLNC,IAG,LUMN,OSCR,RDW,ROIV,SATS"
2025-11-13,899.5661945385009,0.037480584850984405,0.03753058485098441,5e-05,1,9,"EXK,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV,SATS"
2025-11-14,886.4391758946286,-0.014592609997540787,-0.014592609997540787,0.0,0,9,"EXK,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV,SATS"
2025-11-17,907.5435467961535,0.02380803046100208,0.02390803046100208,0.0001,2,9,"EXK,FISV,FLNC,IAG,LUMN,OSCR,RDW,ROIV,SATS"
2025-11-18,917.6779538917982,0.011166854892441907,0.011216854892441907,5e-05,1,10,"EXK,FISV,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV,SATS"
2025-11-19,848.2374243521515,-0.0756698243050898,-0.0756698243050898,0.0,0,10,"EXK,FISV,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV,SATS"
2025-11-20,886.5277031072865,0.04514099196269189,0.04514099196269189,0.0,0,10,"EXK,FISV,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV,SATS"
2025-11-21,920.2833085117319,0.0380761991826446,0.0380761991826446,0.0,0,10,"EXK,FISV,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV,SATS"
2025-11-24,945.4426997189255,0.0273387455520419,0.0273387455520419,0.0,0,10,"EXK,FISV,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV,SATS"
2025-11-25,983.2160272739795,0.039953058568524324,0.04005305856852433,0.0001,2,10,"EOSE,EXK,FISV,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV"
2025-11-26,984.6143958988218,0.0014222394530317706,0.0014222394530317706,0.0,0,10,"EOSE,EXK,FISV,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV"
2025-11-28,972.915087035176,-0.011882122496254834,-0.011782122496254835,0.0001,2,8,"EXK,FISV,IAG,LUMN,NVTS,OSCR,RDW,ROIV"
2025-12-01,988.5920095275432,0.01611335120739091,0.016163351207390913,5e-05,1,9,"AG,EXK,FISV,IAG,LUMN,NVTS,OSCR,RDW,ROIV"
2025-12-02,997.0498701091631,0.00855546120149407,0.00860546120149407,5e-05,1,10,"AG,EXK,FISV,FLNC,IAG,LUMN,NVTS,OSCR,RDW,ROIV"
2025-12-03,1038.2825891967534,0.041354720885802734,0.04150472088580273,0.00015000000000000001,3,9,"AG,EXK,FLNC,IAG,LUMN,NVTS,OSCR,QS,RDW"
2025-12-04,1037.344121766331,-0.0009038651328521589,-0.0009038651328521589,0.0,0,9,"AG,EXK,FLNC,IAG,LUMN,NVTS,OSCR,QS,RDW"
2025-12-05,1019.474017653526,-0.017226784957702294,-0.017226784957702294,0.0,0,9,"AG,EXK,FLNC,IAG,LUMN,NVTS,OSCR,QS,RDW"
2025-12-08,1032.5411949842323,0.012817567789302322,0.013017567789302322,0.0002,4,9,"AG,EXK,IAG,LUMN,NVTS,OSCR,QS,QUBT,UUUU"
2025-12-09,1021.7790846191006,-0.010422935585922232,-0.010322935585922233,0.0001,2,9,"AG,EXK,FLNC,IAG,LUMN,NVTS,OSCR,QUBT,UUUU"
2025-12-10,1074.094050798841,0.051199879667963945,0.051199879667963945,0.0,0,9,"AG,EXK,FLNC,IAG,LUMN,NVTS,OSCR,QUBT,UUUU"
2025-12-11,1033.0097074196303,-0.03825022897078228,-0.03825022897078228,0.0,0,9,"AG,EXK,FLNC,IAG,LUMN,NVTS,OSCR,QUBT,UUUU"
2025-12-12,965.5424733057309,-0.06531132634022076,-0.06526132634022076,5e-05,1,10,"AG,EXK,FLNC,IAG,LUMN,NVTS,OKLO,OSCR,QUBT,UUUU"
2025-12-15,991.0220488248368,0.026388870736956227,0.026488870736956226,0.0001,2,10,"AG,EXK,IAG,LUMN,MARA,NVTS,OKLO,OSCR,QUBT,UUUU"
2025-12-16,955.8147704480662,-0.0355262311454319,-0.0354262311454319,0.0001,2,12,"AG,EOSE,EXK,FLNC,IAG,LUMN,MARA,NVTS,OKLO,OSCR,QUBT,UUUU"
2025-12-17,938.2639330234938,-0.01836217431160309,-0.018312174311603088,5e-05,1,11,"AG,EOSE,EXK,FLNC,LUMN,MARA,NVTS,OKLO,OSCR,QUBT,UUUU"
2025-12-18,999.6891031673758,0.06546683505774689,0.06546683505774689,0.0,0,11,"AG,EOSE,EXK,FLNC,LUMN,MARA,NVTS,OKLO,OSCR,QUBT,UUUU"
2025-12-19,979.3844595042558,-0.020310958275715496,-0.020210958275715497,0.0001,2,11,"AG,EOSE,EXK,FLNC,LUMN,MARA,MP,NVTS,OKLO,QUBT,UUUU"
