signal_date,exec_entry_date,exec_exit_date,ticker,side,entry_price,exit_price,position_return,holding_age,score,weight,contribution_return,contribution_pnl
2026-04-22,2026-04-23,2026-04-24,QS,1,9.657482437992098,7.499625,-0.223438919184899,2,0.9814977973568282,0.1,-0.0223438919184899,-31.110578788429613
2026-02-02,2026-02-03,2026-02-04,LUMN,1,9.080453923702242,7.289635461854934,-0.19721684366161762,7,0.9789473684210526,0.125,-0.024652105457702203,-28.808792776249067
2026-01-28,2026-01-29,2026-01-30,AG,1,26.95441077862914,22.363127442984013,-0.17033514007604778,7,0.9701754385964914,0.1111111111111111,-0.01892612667511642,-24.47669154163364
2025-11-12,2025-11-13,2025-11-14,FLNC,1,18.93094680519104,15.29423532629013,-0.1921040461591541,1,0.9921052631578947,0.125,-0.024013005769894263,-22.772315054880863
2026-05-06,2026-05-07,2026-05-08,LUMN,1,9.880494114446641,8.549572690725327,-0.1347019094698234,32,0.9920704845814977,0.09090909090909091,-0.01224562813362031,-18.31677913192491
2026-02-03,2026-02-04,2026-02-05,NVTS,1,9.02045145778656,7.859607133507729,-0.12869026896395264,5,0.9947368421052631,0.125,-0.01608628362049408,-18.181025438919075
2026-02-03,2026-02-04,2026-02-05,MARA,1,8.920446076297761,7.799610190725327,-0.1256479637885568,6,0.9842105263157894,0.125,-0.0157059954735696,-17.75121650128821
2025-11-10,2025-11-11,2025-11-12,LUMN,1,10.380519114446642,9.369531385564803,-0.09739279102861431,0,1.0,0.16666666666666666,-0.016232131838102383,-16.232131838102383
2026-02-10,2026-02-11,2026-02-12,FLNC,1,19.660982847404483,17.469125813388825,-0.1114825769915675,0,1.0,0.125,-0.013935322123945937,-15.834953024901745
2026-02-10,2026-02-11,2026-02-12,COMP,1,12.610630156660081,11.209439538145066,-0.11111186365060444,22,0.9710526315789474,0.125,-0.013888982956325555,-15.78229700906262
2026-03-31,2026-04-01,2026-04-02,OWL,1,9.280463732957841,8.239587771129608,-0.11215775329542588,15,0.9911894273127753,0.125,-0.014019719161928235,-14.92980809597329
2026-02-03,2026-02-04,2026-02-05,LUMN,1,7.290364461851121,6.529673709797859,-0.10434193736592867,8,0.9894736842105263,0.125,-0.013042742170741084,-14.7411566769468
2026-04-15,2026-04-16,2026-04-17,FLNC,1,15.630781614446642,13.81930869483948,-0.11589138433953428,9,0.986784140969163,0.1,-0.011589138433953428,-14.720044249696253
2026-01-28,2026-01-29,2026-01-30,OKLO,1,93.95469444808963,85.14574402580261,-0.09375742717309343,7,0.9719298245614035,0.1111111111111111,-0.010417491908121492,-13.472684635879716
2025-12-11,2025-12-12,2025-12-15,FLNC,1,25.441272534084323,22.608870110321043,-0.11133100437364674,2,0.9921052631578947,0.1111111111111111,-0.012370111597071859,-13.286663274132632
2026-03-31,2026-04-01,2026-04-02,NVTS,1,9.00045,8.119593885564804,-0.09786800820350061,4,0.9973568281938325,0.125,-0.012233501025437576,-13.0276377538047
2026-03-31,2026-04-01,2026-04-02,SOUN,1,7.075353559255601,6.3896803664922714,-0.09691009601440592,5,0.9744493392070485,0.125,-0.01211376200180074,-12.900125881145241
2026-01-15,2026-01-16,2026-01-20,LUMN,1,8.650432118511201,8.109594156694412,-0.06252149654575534,2,0.9894736842105263,0.16666666666666666,-0.010420249424292555,-12.527373859404763
2026-01-23,2026-01-26,2026-01-27,NVTS,1,10.210510538148881,9.414529211854935,-0.07795705448028001,0,0.968421052631579,0.125,-0.009744631810035001,-12.477622032739786
2026-01-29,2026-01-30,2026-02-02,OKLO,1,85.15425902595521,78.2460875,-0.08112537887094506,8,0.9824561403508772,0.125,-0.010140672358868133,-12.350858362976144
2026-02-20,2026-02-23,2026-02-24,COMP,1,10.220511267042161,9.039547961854934,-0.11554835901364846,29,0.9710526315789474,0.1,-0.011554835901364847,-12.300251174742286
2025-11-12,2025-11-13,2025-11-14,IAG,1,14.480723542213441,12.979350542259217,-0.1036807998977054,2,0.9788546255506608,0.125,-0.012960099987213175,-12.290484701485807
2025-11-12,2025-11-13,2025-11-14,RDW,1,5.9902992711067204,5.369731385564804,-0.10359547285644466,2,0.9938325991189427,0.125,-0.012949434107055582,-12.280369900131333
2026-03-31,2026-04-01,2026-04-02,QS,1,6.530326709818841,5.929703328347206,-0.09197447664732483,30,0.9814159292035398,0.125,-0.011496809580915604,-12.243124043820679
2026-03-17,2026-03-18,2026-03-19,NVTS,1,9.670483576297759,8.709564538145065,-0.09936618273236053,34,0.987719298245614,0.1111111111111111,-0.011040686970262281,-12.170600977319687
